Timestep Time cumulativeSelectionP cumulativeTransmissionP cumulativeSelectionAltruism cumulativeTransmissionAltruism cumulativeSelectionProduct cumulativeTransmissionProduct
0 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000
62500 5000.000000 0.002772 -0.008683 0.033020 0.003538 0.032971 0.003379
125000 10000.000000 -0.001135 -0.014739 0.033179 0.004106 0.032921 0.003716
187500 15000.000000 -0.007106 -0.017990 0.030463 0.004601 0.030122 0.004076
250000 20000.000000 -0.008396 -0.020282 0.033196 0.005165 0.032678 0.004534
312500 25000.000000 -0.009647 -0.022030 0.033508 0.005584 0.032958 0.004873
375000 30000.000000 -0.007531 -0.023190 0.041766 0.005958 0.041200 0.005181
437500 35000.000000 0.002336 -0.025398 0.038603 0.006301 0.038522 0.005397
500000 40000.000000 0.006729 -0.027991 0.045341 0.006693 0.045296 0.005657
562500 45000.000000 0.010286 -0.030766 0.039409 0.007023 0.039651 0.005822
625000 50000.000000 0.008742 -0.033316 0.051792 0.007419 0.051695 0.006068
687500 55000.000000 0.012141 -0.035808 0.050930 0.007675 0.050997 0.006173
750000 60000.000000 0.012304 -0.037599 0.063947 0.007873 0.063740 0.006251
812500 65000.000000 0.009534 -0.039550 0.053263 0.008136 0.053079 0.006365
875000 70000.000000 0.007319 -0.041581 0.041858 0.008442 0.041984 0.006549
937500 75000.000000 0.001085 -0.043715 0.039076 0.008778 0.038943 0.006760
1000000 80000.000000 -0.004943 -0.045365 0.037612 0.009154 0.037215 0.007047
1062500 85000.000000 -0.013742 -0.046272 0.041989 0.009331 0.041057 0.007170
1125000 90000.000000 -0.013448 -0.046639 0.035224 0.009648 0.034790 0.007435
1187500 95000.000000 -0.012362 -0.047352 0.037215 0.009882 0.036614 0.007615
1250000 100000.000000 -0.010298 -0.047799 0.047849 0.010185 0.046869 0.007872
1312500 105000.000000 -0.000965 -0.048303 0.053066 0.010324 0.052475 0.007958
1375000 110000.000000 0.009991 -0.049352 0.046589 0.010477 0.046850 0.008018
1437500 115000.000000 0.012663 -0.050780 0.048925 0.010747 0.049195 0.008185
1500000 120000.000000 0.015963 -0.052036 0.045254 0.011005 0.045918 0.008352
1562500 125000.000000 0.018308 -0.053555 0.039909 0.011231 0.040805 0.008480
1625000 130000.000000 0.012960 -0.054942 0.039555 0.011461 0.040108 0.008622
1687500 135000.000000 0.008748 -0.055933 0.038610 0.011741 0.039002 0.008840
1750000 140000.000000 0.008053 -0.056876 0.047667 0.011995 0.047687 0.009024
1812500 145000.000000 0.008735 -0.057835 0.040482 0.012174 0.040824 0.009136
1875000 150000.000000 0.007798 -0.058867 0.039835 0.012416 0.040339 0.009306
1937500 155000.000000 0.020174 -0.060188 0.043235 0.012738 0.044160 0.009532
2000000 160000.000000 0.017157 -0.061368 0.036372 0.013005 0.037214 0.009721
2062500 165000.000000 -0.005044 -0.062190 0.052230 0.013156 0.050784 0.009820
2125000 170000.000000 -0.009514 -0.062633 0.049094 0.013242 0.047842 0.009867
2187500 175000.000000 -0.011073 -0.062820 0.054213 0.013338 0.052619 0.009931
2250000 180000.000000 -0.008937 -0.062924 0.045413 0.013500 0.044567 0.010061
2312500 185000.000000 -0.011147 -0.063194 0.054359 0.013626 0.052728 0.010147
2375000 190000.000000 -0.015742 -0.063516 0.048063 0.013773 0.046520 0.010249
2437500 195000.000000 -0.016774 -0.063958 0.046892 0.013986 0.045484 0.010407
2500000 200000.000000 -0.021055 -0.064380 0.050221 0.014196 0.048112 0.010561
2562500 205000.000000 -0.024481 -0.064964 0.050494 0.014377 0.048112 0.010675
2625000 210000.000000 -0.030513 -0.065475 0.049071 0.014549 0.046440 0.010789
2687500 215000.000000 -0.035851 -0.065793 0.041448 0.014804 0.039464 0.010989
2750000 220000.000000 -0.038089 -0.065939 0.040044 0.015053 0.038266 0.011189
2812500 225000.000000 -0.031297 -0.065953 0.035995 0.015321 0.034990 0.011414
2875000 230000.000000 -0.028460 -0.066011 0.038656 0.015627 0.037433 0.011673
2937500 235000.000000 -0.021913 -0.066062 0.035974 0.015816 0.035445 0.011825
3000000 240000.000000 -0.012996 -0.066117 0.033068 0.016100 0.033084 0.012068
3062500 245000.000000 -0.018359 -0.066189 0.039486 0.016372 0.038630 0.012301
3125000 250000.000000 -0.023436 -0.066338 0.031528 0.016620 0.031038 0.012507
3187500 255000.000000 -0.028426 -0.066417 0.035052 0.016861 0.034183 0.012711
3250000 260000.000000 -0.032322 -0.066478 0.041410 0.017181 0.039636 0.012985
3312500 265000.000000 -0.035428 -0.066504 0.037421 0.017431 0.035950 0.013193
3375000 270000.000000 -0.037771 -0.066458 0.038017 0.017647 0.036543 0.013372
3437500 275000.000000 -0.035114 -0.066474 0.042436 0.017783 0.040662 0.013476
3500000 280000.000000 -0.034528 -0.066520 0.045632 0.017916 0.043505 0.013575
3562500 285000.000000 -0.030369 -0.066521 0.042150 0.018143 0.040938 0.013763
3625000 290000.000000 -0.021327 -0.066559 0.057587 0.018239 0.055470 0.013829
3687500 295000.000000 -0.014904 -0.066623 0.054801 0.018332 0.053320 0.013890
3750000 300000.000000 -0.009002 -0.066701 0.047672 0.018490 0.047174 0.014012
3812500 305000.000000 -0.006191 -0.066740 0.051070 0.018602 0.050395 0.014095
3875000 310000.000000 -0.007203 -0.066894 0.045212 0.018775 0.044657 0.014230
3937500 315000.000000 -0.021504 -0.067117 0.040647 0.018901 0.039569 0.014320
4000000 320000.000000 -0.009750 -0.067568 0.047510 0.019096 0.047246 0.014447
4062500 325000.000000 0.008872 -0.068825 0.043387 0.019301 0.044872 0.014525
4125000 330000.000000 0.021247 -0.070208 0.042001 0.019498 0.043957 0.014606
4187500 335000.000000 0.028401 -0.071748 0.039937 0.019729 0.042323 0.014729
4250000 340000.000000 0.024026 -0.072873 0.036982 0.019918 0.039203 0.014837
4312500 345000.000000 0.023551 -0.073681 0.039571 0.020112 0.041622 0.014970
4375000 350000.000000 0.021880 -0.074620 0.029209 0.020287 0.031803 0.015071
