Timestep Time cumulativeSelectionP cumulativeTransmissionP cumulativeSelectionAltruism cumulativeTransmissionAltruism cumulativeSelectionProduct cumulativeTransmissionProduct
0 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000
62500 5000.000000 0.001196 -0.008284 0.027109 0.003064 0.027087 0.002871
125000 10000.000000 0.003388 -0.014015 0.030350 0.003912 0.030384 0.003521
187500 15000.000000 0.004409 -0.018814 0.038709 0.004659 0.038665 0.004080
250000 20000.000000 0.004798 -0.022756 0.043179 0.005079 0.043085 0.004304
312500 25000.000000 0.008353 -0.026234 0.053398 0.005364 0.053377 0.004380
375000 30000.000000 0.010976 -0.029797 0.055437 0.005670 0.055480 0.004449
437500 35000.000000 0.009530 -0.032822 0.061179 0.005957 0.060998 0.004543
500000 40000.000000 0.008891 -0.035051 0.064718 0.006170 0.064375 0.004594
562500 45000.000000 0.004884 -0.036744 0.077752 0.006519 0.076620 0.004809
625000 50000.000000 0.002929 -0.038021 0.076235 0.006621 0.074975 0.004800
687500 55000.000000 -0.002289 -0.039431 0.072078 0.006762 0.070374 0.004821
750000 60000.000000 -0.016314 -0.040387 0.093482 0.006920 0.088909 0.004890
812500 65000.000000 -0.023320 -0.041314 0.098205 0.007008 0.092773 0.004874
875000 70000.000000 -0.032248 -0.042246 0.095223 0.007128 0.089289 0.004886
937500 75000.000000 -0.032876 -0.043110 0.088068 0.007239 0.082719 0.004893
1000000 80000.000000 -0.033338 -0.043968 0.093144 0.007424 0.087610 0.004970
1062500 85000.000000 -0.030205 -0.044771 0.085528 0.007593 0.081058 0.005026
1125000 90000.000000 -0.026347 -0.045698 0.099669 0.007725 0.094730 0.005039
1187500 95000.000000 -0.030450 -0.046416 0.091138 0.007885 0.086230 0.005083
1250000 100000.000000 -0.030755 -0.047122 0.087666 0.008074 0.082898 0.005175
1312500 105000.000000 -0.030869 -0.047918 0.092069 0.008237 0.086935 0.005224
1375000 110000.000000 -0.028793 -0.048895 0.094746 0.008364 0.089623 0.005220
1437500 115000.000000 -0.029217 -0.049964 0.099696 0.008521 0.093553 0.005235
1500000 120000.000000 -0.026921 -0.051493 0.104610 0.008741 0.098481 0.005260
1562500 125000.000000 -0.031196 -0.052764 0.107591 0.008939 0.100619 0.005282
1625000 130000.000000 -0.028129 -0.054174 0.104286 0.009144 0.098243 0.005306
1687500 135000.000000 -0.026443 -0.055289 0.106837 0.009269 0.100659 0.005298
1750000 140000.000000 -0.029290 -0.056339 0.091128 0.009423 0.085975 0.005324
1812500 145000.000000 -0.033910 -0.057238 0.097293 0.009590 0.090734 0.005378
1875000 150000.000000 -0.042989 -0.057889 0.105973 0.009780 0.097171 0.005477
1937500 155000.000000 -0.052752 -0.058435 0.121680 0.009946 0.110170 0.005551
2000000 160000.000000 -0.060512 -0.058726 0.119982 0.010026 0.108011 0.005566
2062500 165000.000000 -0.064128 -0.059040 0.105859 0.010078 0.095444 0.005551
2125000 170000.000000 -0.061182 -0.059091 0.101204 0.010127 0.091629 0.005563
2187500 175000.000000 -0.070002 -0.059215 0.112784 0.010250 0.100479 0.005629
2250000 180000.000000 -0.076984 -0.059352 0.119312 0.010317 0.105517 0.005635
2312500 185000.000000 -0.082126 -0.059638 0.115936 0.010504 0.101568 0.005732
2375000 190000.000000 -0.089016 -0.059773 0.100964 0.010587 0.088470 0.005759
2437500 195000.000000 -0.089756 -0.059856 0.105273 0.010720 0.092394 0.005834
2500000 200000.000000 -0.086094 -0.059962 0.146646 0.010779 0.128718 0.005835
2562500 205000.000000 -0.081946 -0.060063 0.154650 0.010884 0.136065 0.005873
2625000 210000.000000 -0.084295 -0.060202 0.146487 0.010958 0.128770 0.005882
2687500 215000.000000 -0.084247 -0.060225 0.139703 0.011007 0.123128 0.005881
