Simulation from altruism.c performed at Mon Oct 17 14:40:32 2022

Output files are created with the same id as this file.
Predefined parameters:
Tmax = 5000001
DeltaTime = 0.080000
DeltaSpace = 0.100000
Initial population size = 335544
Number of positions = 1048576
Initial altruism level = 0.000000
Initial p = 1.000000
Death rate = 1.000000
Birth rate = 5.000000
Mutation probability production = 0.001000
Mean mutation size production = 0.005000
Mutation probability p = 0.005000
Mean mutation size p = 0.005000
Scale of altruism = 1
Scale of competition = 4
Scale of movement = 0.080000
B0 = 1.000000
BMAX = 5.000000
alpha = 1.000000
(1 - alpha)*kappa = 0.000000
kappa = 0.100000
K = 40
Number of fields (kernel) = 7
Timestep Time Population_size As Bs Mean_altruism_all Mean_altruism_A Mean_altruism_B Mean_p_all Mean_p_A Mean_p_B Mean_cost_all Mean_cost_A Mean_cost_B Mean_benefit_all Mean_benefit_A Mean_benefit_B Mean_production_all Mean_production_A Mean_production_B Covariance_p_altruism Mean_expressed_altruism
0 0.000000 335544 335544 0 0.000000 0.000000 -nan 1.000000 1.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000
62500 5000.000000 383888 375741 8147 0.026103 0.026116 0.025488 0.978829 0.979205 0.961470 0.025562 0.026116 0.000000 1.865865 1.866914 1.817462 0.025563 0.025586 0.024526 0.000013 0.025562
125000 10000.000000 387142 376181 10961 0.031741 0.031756 0.031233 0.971393 0.972034 0.949390 0.030857 0.031756 0.000000 2.100273 2.101124 2.071060 0.030844 0.030878 0.029675 0.000011 0.030857
187500 15000.000000 387594 374895 12699 0.032488 0.032485 0.032576 0.966679 0.967406 0.945225 0.031420 0.032485 0.000000 2.087259 2.087798 2.071343 0.031400 0.031419 0.030846 -0.000005 0.031420
250000 20000.000000 389334 372577 16757 0.035232 0.035173 0.036531 0.956656 0.957732 0.932718 0.033659 0.035173 0.000000 2.208023 2.207469 2.220343 0.033648 0.033627 0.034114 -0.000056 0.033659
312500 25000.000000 387663 369758 17905 0.033578 0.033569 0.033774 0.953862 0.955267 0.924865 0.032018 0.033569 0.000000 2.116708 2.118473 2.080258 0.032025 0.032066 0.031183 -0.000004 0.032018
375000 30000.000000 390857 377141 13716 0.041708 0.041832 0.038294 0.964713 0.965979 0.929915 0.040364 0.041832 0.000000 2.368506 2.372483 2.259156 0.040352 0.040523 0.035639 0.000116 0.040364
437500 35000.000000 390722 375985 14737 0.043132 0.043130 0.043173 0.962437 0.964554 0.908432 0.041503 0.043130 0.000000 2.403076 2.405366 2.344663 0.041502 0.041594 0.039158 -0.000009 0.041503
500000 40000.000000 391237 374519 16718 0.045099 0.045040 0.046419 0.957377 0.959263 0.915115 0.043115 0.045040 0.000000 2.414266 2.415391 2.389069 0.043113 0.043143 0.042440 -0.000064 0.043115
562500 45000.000000 392396 371606 20790 0.050723 0.050557 0.053676 0.946415 0.948834 0.903184 0.047879 0.050557 0.000000 2.518559 2.518338 2.522503 0.047859 0.047822 0.048510 -0.000146 0.047879
