Timestep Time cumulativeSelectionP cumulativeTransmissionP cumulativeSelectionAltruism cumulativeTransmissionAltruism cumulativeSelectionProduct cumulativeTransmissionProduct
0 0.000000 0.000000 -0.000001 0.000000 0.000000 0.000000 0.000000
62500 5000.000000 0.003965 -0.024663 0.018882 0.003793 0.018804 0.003390
125000 10000.000000 0.008133 -0.038516 0.028846 0.005152 0.028627 0.004303
187500 15000.000000 0.000253 -0.047349 0.033084 0.006007 0.032364 0.004787
250000 20000.000000 -0.002640 -0.053378 0.030357 0.006671 0.029723 0.005163
312500 25000.000000 -0.000635 -0.058850 0.044997 0.007267 0.043533 0.005482
375000 30000.000000 -0.005082 -0.062088 0.038210 0.007672 0.037117 0.005684
437500 35000.000000 0.003381 -0.066257 0.048905 0.008185 0.047657 0.005879
500000 40000.000000 0.006251 -0.071016 0.048296 0.008692 0.047101 0.006047
562500 45000.000000 0.010874 -0.076185 0.046885 0.009223 0.046303 0.006229
625000 50000.000000 0.019024 -0.081438 0.047664 0.009744 0.047389 0.006353
687500 55000.000000 0.017643 -0.087042 0.045881 0.010267 0.045407 0.006510
750000 60000.000000 0.022061 -0.090746 0.051564 0.010705 0.051058 0.006680
812500 65000.000000 0.025630 -0.093796 0.048243 0.011041 0.048464 0.006779
875000 70000.000000 0.031018 -0.098163 0.047625 0.011468 0.048098 0.006887
937500 75000.000000 0.032925 -0.103588 0.039698 0.012060 0.040870 0.007123
1000000 80000.000000 0.050524 -0.110540 0.039175 0.012747 0.041381 0.007356
1062500 85000.000000 0.060274 -0.116743 0.041076 0.013287 0.043597 0.007516
1125000 90000.000000 0.042852 -0.121142 0.043314 0.013674 0.044528 0.007615
1187500 95000.000000 0.041404 -0.124597 0.038303 0.014104 0.040154 0.007794
1250000 100000.000000 0.043356 -0.127619 0.033803 0.014623 0.036208 0.008078
1312500 105000.000000 0.051629 -0.131073 0.032604 0.015156 0.035299 0.008371
1375000 110000.000000 0.058944 -0.134281 0.038496 0.015616 0.041428 0.008596
1437500 115000.000000 0.075257 -0.139259 0.036961 0.016117 0.040950 0.008748
1500000 120000.000000 0.064798 -0.145612 0.039085 0.016722 0.041808 0.008933
1562500 125000.000000 0.062871 -0.150921 0.049128 0.017309 0.051082 0.009094
1625000 130000.000000 0.075462 -0.158291 0.043269 0.018082 0.046883 0.009257
1687500 135000.000000 0.076389 -0.164441 0.036976 0.018713 0.040943 0.009434
1750000 140000.000000 0.075341 -0.170073 0.037674 0.019233 0.041324 0.009546
1812500 145000.000000 0.066536 -0.175147 0.035696 0.019813 0.038804 0.009748
1875000 150000.000000 0.044806 -0.178609 0.043380 0.020241 0.043957 0.009908
1937500 155000.000000 0.006879 -0.180013 0.051314 0.020625 0.048529 0.010085
2000000 160000.000000 -0.026870 -0.180273 0.056690 0.020926 0.050255 0.010199
2062500 165000.000000 -0.046264 -0.180399 0.053803 0.021200 0.046922 0.010281
