Timestep Time cumulativeSelectionP cumulativeTransmissionP cumulativeSelectionAltruism cumulativeTransmissionAltruism cumulativeSelectionProduct cumulativeTransmissionProduct
0 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000
62500 5000.000000 -0.002456 -0.007173 0.039694 0.002755 0.039441 0.002588
125000 10000.000000 -0.001877 -0.011818 0.062095 0.003188 0.061643 0.002771
187500 15000.000000 -0.002307 -0.015768 0.076399 0.003560 0.075694 0.002827
250000 20000.000000 -0.002275 -0.019185 0.072736 0.003894 0.072209 0.002866
312500 25000.000000 -0.001056 -0.021897 0.073138 0.004176 0.072713 0.002904
375000 30000.000000 0.000257 -0.024648 0.078742 0.004501 0.078289 0.002974
437500 35000.000000 0.003968 -0.027449 0.083504 0.004823 0.083371 0.003032
500000 40000.000000 0.005483 -0.030240 0.101529 0.005122 0.101115 0.003027
562500 45000.000000 0.008061 -0.032504 0.122933 0.005434 0.122245 0.003036
625000 50000.000000 0.010209 -0.034904 0.128612 0.005820 0.128022 0.003067
687500 55000.000000 0.007414 -0.037412 0.136086 0.006159 0.134595 0.003046
750000 60000.000000 0.005975 -0.039466 0.138259 0.006477 0.136289 0.003054
812500 65000.000000 0.005173 -0.041226 0.138150 0.006769 0.136069 0.003076
875000 70000.000000 0.002494 -0.043091 0.143353 0.007031 0.140758 0.003045
937500 75000.000000 0.002500 -0.044846 0.137114 0.007286 0.134758 0.003021
1000000 80000.000000 -0.000314 -0.046491 0.134497 0.007617 0.131956 0.003084
1062500 85000.000000 0.000551 -0.047739 0.133938 0.007876 0.131440 0.003138
1125000 90000.000000 -0.002907 -0.049047 0.135222 0.008107 0.132157 0.003164
1187500 95000.000000 -0.003218 -0.050358 0.127842 0.008392 0.125096 0.003248
1250000 100000.000000 -0.004223 -0.051604 0.134912 0.008607 0.131693 0.003259
1312500 105000.000000 -0.003047 -0.052917 0.127787 0.008806 0.125221 0.003245
1375000 110000.000000 -0.004454 -0.054086 0.122680 0.009037 0.120238 0.003289
1437500 115000.000000 -0.005358 -0.055308 0.123358 0.009257 0.120606 0.003323
1500000 120000.000000 -0.010188 -0.056690 0.124770 0.009454 0.121037 0.003310
1562500 125000.000000 -0.016199 -0.057851 0.124539 0.009646 0.119655 0.003328
1625000 130000.000000 -0.021266 -0.058851 0.124769 0.009796 0.119239 0.003324
1687500 135000.000000 -0.027111 -0.059762 0.128864 0.009965 0.122020 0.003348
1750000 140000.000000 -0.031205 -0.060637 0.128473 0.010096 0.121185 0.003331
1812500 145000.000000 -0.030535 -0.061390 0.132478 0.010324 0.124919 0.003402
1875000 150000.000000 -0.033205 -0.062190 0.133539 0.010484 0.124965 0.003416
1937500 155000.000000 -0.032653 -0.062706 0.142619 0.010618 0.132887 0.003440
2000000 160000.000000 -0.043301 -0.063237 0.155507 0.010770 0.141303 0.003457
2062500 165000.000000 -0.044089 -0.063961 0.147631 0.010962 0.133800 0.003490
2125000 170000.000000 -0.054179 -0.064713 0.156973 0.011133 0.139782 0.003511
2187500 175000.000000 -0.063835 -0.065357 0.161294 0.011358 0.140886 0.003579
