Simulation from altruism.c performed at Mon Oct 17 14:31:02 2022

Output files are created with the same id as this file.
Predefined parameters:
Tmax = 5000001
DeltaTime = 0.080000
DeltaSpace = 0.100000
Initial population size = 335544
Number of positions = 1048576
Initial altruism level = 0.000000
Initial p = 1.000000
Death rate = 1.000000
Birth rate = 5.000000
Mutation probability production = 0.001000
Mean mutation size production = 0.005000
Mutation probability p = 0.005000
Mean mutation size p = 0.005000
Scale of altruism = 1
Scale of competition = 4
Scale of movement = 0.080000
B0 = 1.000000
BMAX = 5.000000
alpha = 1.000000
(1 - alpha)*kappa = 0.000000
kappa = 0.100000
K = 40
Number of fields (kernel) = 7
Timestep Time Population_size As Bs Mean_altruism_all Mean_altruism_A Mean_altruism_B Mean_p_all Mean_p_A Mean_p_B Mean_cost_all Mean_cost_A Mean_cost_B Mean_benefit_all Mean_benefit_A Mean_benefit_B Mean_production_all Mean_production_A Mean_production_B Covariance_p_altruism Mean_expressed_altruism
0 0.000000 335544 335544 0 0.000000 0.000000 -nan 1.000000 1.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000
62500 5000.000000 383427 375522 7905 0.022685 0.022676 0.023082 0.979321 0.979672 0.962634 0.022209 0.022676 0.000000 1.765335 1.764849 1.788414 0.022204 0.022205 0.022194 -0.000011 0.022209
125000 10000.000000 388182 376492 11690 0.033987 0.033951 0.035155 0.969626 0.970626 0.937417 0.032928 0.033951 0.000000 2.158718 2.158099 2.178626 0.032919 0.032920 0.032890 -0.000036 0.032928
187500 15000.000000 389386 371076 18310 0.039100 0.038997 0.041177 0.952885 0.954145 0.927346 0.037163 0.038997 0.000000 2.298147 2.296444 2.332662 0.037158 0.037112 0.038101 -0.000099 0.037163
250000 20000.000000 388755 367071 21684 0.037046 0.036970 0.038331 0.943951 0.945642 0.915317 0.034908 0.036970 0.000000 2.206819 2.208058 2.185839 0.034901 0.034892 0.035045 -0.000069 0.034908
312500 25000.000000 391831 368246 23585 0.052275 0.052131 0.054525 0.940528 0.941814 0.920446 0.048993 0.052131 0.000000 2.528457 2.526733 2.555382 0.049027 0.048951 0.050219 -0.000139 0.048993
375000 30000.000000 390307 364482 25825 0.045878 0.045876 0.045902 0.932774 0.934724 0.905259 0.042840 0.045876 0.000000 2.384008 2.385182 2.367442 0.042795 0.042880 0.041596 0.000001 0.042840
437500 35000.000000 393064 368291 24773 0.057110 0.057142 0.056639 0.937211 0.939279 0.906472 0.053541 0.057142 0.000000 2.624918 2.628412 2.572971 0.053559 0.053697 0.051499 0.000034 0.053541
500000 40000.000000 393583 368104 25479 0.056985 0.056831 0.059208 0.935241 0.937920 0.896534 0.053152 0.056831 0.000000 2.666441 2.667126 2.656532 0.053145 0.053157 0.052976 -0.000149 0.053152
562500 45000.000000 392907 367541 25366 0.056121 0.056231 0.054525 0.934755 0.937170 0.899768 0.052601 0.056231 0.000000 2.621352 2.626926 2.540595 0.052547 0.052775 0.049244 0.000088 0.052601
625000 50000.000000 393151 368753 24398 0.057349 0.057257 0.058741 0.937682 0.939966 0.903161 0.053704 0.057257 0.000000 2.656080 2.657665 2.632126 0.053692 0.053735 0.053051 -0.000083 0.053704
687500 55000.000000 392514 365359 27155 0.056136 0.055787 0.060841 0.930639 0.932768 0.901991 0.051927 0.055787 0.000000 2.586404 2.582312 2.641454 0.051907 0.051704 0.054642 -0.000336 0.051927
750000 60000.000000 394027 366697 27330 0.062261 0.061976 0.066081 0.931322 0.933852 0.897386 0.057678 0.061976 0.000000 2.709592 2.706760 2.747590 0.057729 0.057613 0.059285 -0.000256 0.057678
812500 65000.000000 393248 366345 26903 0.059311 0.059315 0.059259 0.931816 0.933947 0.902800 0.055257 0.059315 0.000000 2.640953 2.644440 2.593468 0.055268 0.055380 0.053738 0.000001 0.055257
875000 70000.000000 393981 367499 26482 0.059090 0.058943 0.061127 0.932904 0.935136 0.901924 0.054981 0.058943 0.000000 2.694983 2.693624 2.713844 0.054985 0.054985 0.054985 -0.000140 0.054981
937500 75000.000000 392109 364377 27732 0.051754 0.051623 0.053471 0.929379 0.932597 0.887094 0.047972 0.051623 0.000000 2.515316 2.517010 2.493056 0.047991 0.048038 0.047378 -0.000108 0.047972
1000000 80000.000000 392057 368748 23309 0.051929 0.051857 0.053068 0.939986 0.943245 0.888431 0.048774 0.051857 0.000000 2.516209 2.517915 2.489217 0.048745 0.048830 0.047391 -0.000068 0.048774
1062500 85000.000000 393215 370888 22327 0.054381 0.054198 0.057416 0.943497 0.945581 0.908880 0.051121 0.054198 0.000000 2.594115 2.595264 2.575022 0.051127 0.051060 0.052241 -0.000181 0.051121
1125000 90000.000000 393743 362732 31011 0.056989 0.056565 0.061949 0.921714 0.924718 0.886587 0.052110 0.056565 0.000000 2.622125 2.617078 2.681168 0.052144 0.051927 0.054680 -0.000384 0.052110
1187500 95000.000000 391843 359020 32823 0.052400 0.052290 0.053608 0.916800 0.920105 0.880652 0.047910 0.052290 0.000000 2.521829 2.524398 2.493722 0.047941 0.048008 0.047205 -0.000100 0.047910
1250000 100000.000000 391778 358571 33207 0.048407 0.048314 0.049406 0.915772 0.919037 0.880514 0.044219 0.048314 0.000000 2.453171 2.453835 2.445998 0.044269 0.044337 0.043542 -0.000060 0.044219
1312500 105000.000000 390712 359613 31099 0.047770 0.047445 0.051535 0.920628 0.923385 0.888747 0.043668 0.047445 0.000000 2.421045 2.417032 2.467452 0.043684 0.043519 0.045594 -0.000295 0.043668
1375000 110000.000000 392884 363399 29485 0.054118 0.054129 0.053992 0.924598 0.927333 0.890889 0.050066 0.054129 0.000000 2.572051 2.574583 2.540836 0.050026 0.050175 0.048187 -0.000012 0.050066
1437500 115000.000000 392712 367290 25422 0.053092 0.053114 0.052778 0.936042 0.938869 0.895201 0.049676 0.053114 0.000000 2.568731 2.573566 2.498880 0.049716 0.049879 0.047350 0.000019 0.049676
1500000 120000.000000 392352 360619 31733 0.055787 0.055183 0.062643 0.919213 0.924247 0.862003 0.050720 0.055183 0.000000 2.577535 2.572734 2.632089 0.050726 0.050517 0.053094 -0.000554 0.050720
1562500 125000.000000 393930 359522 34408 0.066464 0.066017 0.071133 0.912049 0.919743 0.831648 0.060251 0.066017 0.000000 2.732194 2.733423 2.719359 0.060208 0.060391 0.058299 -0.000410 0.060251
1625000 130000.000000 393449 360837 32612 0.061321 0.061189 0.062776 0.917282 0.925418 0.827260 0.056117 0.061189 0.000000 2.660655 2.668990 2.568431 0.056121 0.056521 0.051699 -0.000127 0.056117
1687500 135000.000000 392989 358498 34491 0.055718 0.055279 0.060278 0.911987 0.919797 0.830812 0.050427 0.055279 0.000000 2.562117 2.562792 2.555099 0.050406 0.050493 0.049502 -0.000408 0.050427
1750000 140000.000000 392320 355091 37229 0.056907 0.056170 0.063936 0.905276 0.913243 0.829289 0.050840 0.056170 0.000000 2.580222 2.576641 2.614373 0.050872 0.050708 0.052436 -0.000645 0.050840
1812500 145000.000000 391980 349710 42270 0.055488 0.054457 0.064021 0.891455 0.899457 0.825255 0.048584 0.054457 0.000000 2.498845 2.490483 2.568029 0.048538 0.048088 0.052262 -0.000927 0.048584
1875000 150000.000000 392825 340297 52528 0.063619 0.062217 0.072699 0.866224 0.874574 0.812128 0.053897 0.062217 0.000000 2.647816 2.634307 2.735327 0.053865 0.053179 0.058309 -0.001243 0.053897
1937500 155000.000000 393831 326002 67829 0.071952 0.070887 0.077071 0.826918 0.831868 0.803126 0.058678 0.070887 0.000000 2.734786 2.725342 2.780178 0.058626 0.058055 0.061371 -0.000873 0.058678
2000000 160000.000000 394307 312891 81416 0.077638 0.076293 0.082807 0.792880 0.798928 0.769633 0.060540 0.076293 0.000000 2.758400 2.747906 2.798730 0.060473 0.059850 0.062871 -0.001084 0.060540
2062500 165000.000000 393532 304175 89357 0.074995 0.073965 0.078501 0.773317 0.779326 0.752861 0.057170 0.073965 0.000000 2.673144 2.666574 2.695508 0.057195 0.056805 0.058521 -0.000800 0.057170
2125000 170000.000000 394503 298279 96224 0.087835 0.085941 0.093705 0.756165 0.762310 0.737118 0.064979 0.085941 0.000000 2.786215 2.777300 2.813850 0.065029 0.064163 0.067713 -0.001389 0.064979
2187500 175000.000000 395906 284640 111266 0.106807 0.103994 0.114003 0.718970 0.726115 0.700693 0.074767 0.103994 0.000000 2.948988 2.931095 2.994761 0.074729 0.073438 0.078031 -0.002062 0.074767
2250000 180000.000000 394153 277827 116326 0.093144 0.090957 0.098366 0.704160 0.712793 0.683542 0.064113 0.090957 0.000000 2.807162 2.797032 2.831356 0.064049 0.063315 0.065801 -0.001539 0.064113
2312500 185000.000000 393386 271617 121769 0.083174 0.081622 0.086634 0.690507 0.699735 0.669924 0.056357 0.081622 0.000000 2.682048 2.678566 2.689815 0.056385 0.056022 0.057194 -0.001047 0.056357
2375000 190000.000000 394623 269095 125528 0.096674 0.095831 0.098479 0.681636 0.689922 0.663872 0.065348 0.095831 0.000000 2.807013 2.811186 2.798068 0.065327 0.065479 0.065000 -0.000570 0.065348
2437500 195000.000000 394958 268881 126077 0.092564 0.091960 0.093853 0.680789 0.687948 0.665523 0.062605 0.091960 0.000000 2.789973 2.793406 2.782652 0.062642 0.062849 0.062200 -0.000375 0.062605
2500000 200000.000000 394520 270267 124253 0.090048 0.089056 0.092205 0.685635 0.694436 0.666492 0.061008 0.089056 0.000000 2.778999 2.785814 2.764177 0.061038 0.061163 0.060764 -0.000702 0.061008
2562500 205000.000000 394087 267912 126175 0.087425 0.085325 0.091883 0.679115 0.690280 0.655409 0.058007 0.085325 0.000000 2.713843 2.707231 2.727882 0.057922 0.057492 0.058836 -0.001449 0.058007
2625000 210000.000000 394441 262599 131842 0.093833 0.092115 0.097256 0.665963 0.677506 0.642970 0.061325 0.092115 0.000000 2.760866 2.760801 2.760996 0.061336 0.061207 0.061593 -0.001153 0.061325
2687500 215000.000000 394101 264796 129305 0.094002 0.092529 0.097020 0.672623 0.682399 0.652603 0.062170 0.092529 0.000000 2.743141 2.742908 2.743618 0.062251 0.062174 0.062410 -0.000977 0.062170
2750000 220000.000000 394637 266945 127692 0.096556 0.095312 0.099156 0.675081 0.684226 0.655964 0.064472 0.095312 0.000000 2.793617 2.794286 2.792219 0.064356 0.064512 0.064030 -0.000827 0.064472
2812500 225000.000000 394332 264666 129666 0.096322 0.092527 0.104068 0.671467 0.684744 0.644365 0.062102 0.092527 0.000000 2.749395 2.742778 2.762901 0.062105 0.061230 0.063891 -0.002572 0.062102
2875000 230000.000000 393994 250685 143309 0.099274 0.092040 0.111930 0.636246 0.658068 0.598074 0.058562 0.092040 0.000000 2.710450 2.682792 2.758832 0.058570 0.056643 0.061939 -0.004593 0.058562
2937500 235000.000000 395246 226345 168901 0.131800 0.120921 0.146379 0.572280 0.600267 0.534775 0.069248 0.120921 0.000000 2.878028 2.832567 2.938950 0.069210 0.066509 0.072830 -0.006216 0.069248
3000000 240000.000000 394781 211265 183516 0.127554 0.121385 0.134655 0.535023 0.557614 0.509015 0.064959 0.121385 0.000000 2.809706 2.796377 2.825051 0.064979 0.064083 0.066010 -0.003265 0.064959
3062500 245000.000000 394384 209369 185015 0.113167 0.110721 0.115936 0.531078 0.548349 0.511533 0.058779 0.110721 0.000000 2.737830 2.749018 2.725169 0.058765 0.059248 0.058218 -0.001336 0.058779
3125000 250000.000000 393841 211300 182541 0.108343 0.106848 0.110074 0.536146 0.554506 0.514894 0.057325 0.106848 0.000000 2.672650 2.690033 2.652528 0.057250 0.058495 0.055809 -0.000838 0.057325
3187500 255000.000000 394962 226552 168410 0.109678 0.108312 0.111514 0.572497 0.590108 0.548806 0.062128 0.108312 0.000000 2.809035 2.827228 2.784560 0.062015 0.063438 0.060102 -0.000775 0.062128
3250000 260000.000000 392886 240554 152332 0.089249 0.087918 0.091349 0.613470 0.632531 0.583368 0.053830 0.087918 0.000000 2.634956 2.657667 2.599092 0.053907 0.055046 0.052110 -0.000844 0.053830
3312500 265000.000000 393645 259685 133960 0.084432 0.083876 0.085511 0.659875 0.676895 0.626883 0.055332 0.083876 0.000000 2.666598 2.684591 2.631718 0.055381 0.056392 0.053421 -0.000334 0.055332
3375000 270000.000000 394084 270636 123448 0.091311 0.089942 0.094313 0.686654 0.699249 0.659042 0.061767 0.089942 0.000000 2.767912 2.774066 2.754421 0.061788 0.061958 0.061417 -0.000911 0.061767
3437500 275000.000000 394062 266691 127371 0.083427 0.082346 0.085691 0.676016 0.688887 0.649066 0.055730 0.082346 0.000000 2.701031 2.703932 2.694958 0.055655 0.056039 0.054852 -0.000743 0.055730
3500000 280000.000000 393828 278221 115607 0.081941 0.081772 0.082350 0.707871 0.722270 0.673217 0.057768 0.081772 0.000000 2.662118 2.678308 2.623154 0.057923 0.058950 0.055452 -0.000081 0.057768
3562500 285000.000000 394167 292783 101384 0.081764 0.082383 0.079977 0.742304 0.755317 0.704725 0.061194 0.082383 0.000000 2.768699 2.790736 2.705061 0.061155 0.062669 0.056782 0.000461 0.061194
3625000 290000.000000 393621 309117 84504 0.074574 0.074725 0.074018 0.784732 0.794302 0.749724 0.058683 0.074725 0.000000 2.712014 2.725918 2.661156 0.058642 0.059426 0.055774 0.000122 0.058683
3687500 295000.000000 393415 316381 77034 0.068504 0.067763 0.071547 0.804943 0.811693 0.777222 0.054494 0.067763 0.000000 2.616840 2.617025 2.616079 0.054545 0.054427 0.055031 -0.000596 0.054494
3750000 300000.000000 394164 314407 79757 0.076381 0.075520 0.079772 0.798008 0.804620 0.771943 0.060239 0.075520 0.000000 2.746063 2.742441 2.760338 0.060252 0.060035 0.061108 -0.000700 0.060239
3812500 305000.000000 393926 310553 83373 0.073255 0.072671 0.075432 0.788545 0.794784 0.765305 0.057290 0.072671 0.000000 2.699622 2.697630 2.707043 0.057317 0.057276 0.057470 -0.000448 0.057290
3875000 310000.000000 394146 315609 78537 0.069835 0.069190 0.072430 0.801496 0.808813 0.772093 0.055403 0.069190 0.000000 2.703721 2.701777 2.711530 0.055460 0.055446 0.055513 -0.000513 0.055403
3937500 315000.000000 392072 317057 75015 0.057884 0.057569 0.059215 0.807038 0.815040 0.773217 0.046554 0.057569 0.000000 2.492742 2.495135 2.482624 0.046449 0.046650 0.045599 -0.000266 0.046554
4000000 320000.000000 392979 325109 67870 0.061362 0.061252 0.061890 0.826992 0.837398 0.777147 0.050673 0.061252 0.000000 2.596472 2.609534 2.533900 0.050660 0.051199 0.048078 -0.000086 0.050673
4062500 325000.000000 393468 331072 62396 0.065198 0.064816 0.067227 0.841976 0.852035 0.788598 0.054538 0.064816 0.000000 2.631376 2.642326 2.573277 0.054566 0.054883 0.052884 -0.000329 0.054538
4125000 330000.000000 393228 330654 62574 0.061349 0.060291 0.066941 0.841143 0.849619 0.796357 0.050697 0.060291 0.000000 2.603979 2.596301 2.644555 0.050709 0.050358 0.052561 -0.000894 0.050697
4187500 335000.000000 391715 333183 58532 0.054279 0.054191 0.054782 0.850422 0.859157 0.800696 0.046093 0.054191 0.000000 2.494555 2.500849 2.458724 0.046077 0.046493 0.043709 -0.000084 0.046093
4250000 340000.000000 392773 348561 44212 0.056059 0.056032 0.056276 0.886860 0.892195 0.844797 0.049725 0.056032 0.000000 2.600197 2.605653 2.557183 0.049687 0.049948 0.047625 -0.000030 0.049725
4312500 345000.000000 392391 353390 39001 0.054875 0.055038 0.053399 0.900392 0.906148 0.848243 0.049567 0.055038 0.000000 2.514327 2.522996 2.435771 0.049539 0.049999 0.045376 0.000130 0.049567
4375000 350000.000000 394120 366346 27774 0.061233 0.061478 0.058000 0.929383 0.932915 0.882789 0.057146 0.061478 0.000000 2.730269 2.738491 2.621814 0.057135 0.057550 0.051668 0.000227 0.057146
4437500 355000.000000 394159 369234 24925 0.062898 0.062730 0.065397 0.936296 0.938101 0.909556 0.058763 0.062730 0.000000 2.722463 2.721630 2.734800 0.058732 0.058683 0.059450 -0.000160 0.058763
4500000 360000.000000 394289 366978 27311 0.065029 0.064939 0.066233 0.930514 0.933431 0.891320 0.060441 0.064939 0.000000 2.771058 2.771716 2.762205 0.060419 0.060534 0.058878 -0.000091 0.060441
4562500 365000.000000 392816 367140 25676 0.050572 0.050802 0.047275 0.935017 0.938394 0.886722 0.047482 0.050802 0.000000 2.542117 2.551870 2.402657 0.047500 0.047879 0.042080 0.000214 0.047482
4625000 370000.000000 392705 372848 19857 0.051540 0.051598 0.050454 0.949050 0.951042 0.911656 0.048989 0.051598 0.000000 2.583575 2.587320 2.513268 0.048955 0.049102 0.046192 0.000041 0.048989
4687500 375000.000000 392517 376017 16500 0.050293 0.050376 0.048404 0.957826 0.959297 0.924289 0.048258 0.050376 0.000000 2.541822 2.544507 2.480623 0.048247 0.048393 0.044929 0.000075 0.048258
4750000 380000.000000 393065 375201 17864 0.053029 0.053007 0.053500 0.954745 0.955905 0.930377 0.050598 0.053007 0.000000 2.597745 2.598362 2.584784 0.050607 0.050644 0.049837 -0.000022 0.050598
4812500 385000.000000 391643 368948 22695 0.050378 0.050183 0.053542 0.942794 0.944414 0.916467 0.047275 0.050183 0.000000 2.494043 2.493355 2.505226 0.047320 0.047221 0.048921 -0.000176 0.047275
4875000 390000.000000 393518 367876 25642 0.059504 0.059436 0.060475 0.935530 0.937780 0.903250 0.055563 0.059436 0.000000 2.676260 2.676818 2.668254 0.055609 0.055675 0.054658 -0.000058 0.055563
4937500 395000.000000 393249 367363 25886 0.057766 0.057648 0.059435 0.933604 0.935632 0.904822 0.053854 0.057648 0.000000 2.676266 2.675987 2.680233 0.053811 0.053815 0.053752 -0.000120 0.053854
5000000 400000.000000 392999 369001 23998 0.058614 0.058424 0.061536 0.938356 0.940463 0.905943 0.054857 0.058424 0.000000 2.645961 2.644863 2.662834 0.054821 0.054769 0.055621 -0.000180 0.054857
