Timestep Time cumulativeSelectionP cumulativeTransmissionP cumulativeSelectionAltruism cumulativeTransmissionAltruism cumulativeSelectionProduct cumulativeTransmissionProduct
0 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000
62500 5000.000000 0.000843 -0.008460 0.043160 0.002545 0.043045 0.002306
125000 10000.000000 -0.000597 -0.013327 0.062820 0.002941 0.062417 0.002418
187500 15000.000000 -0.001287 -0.016953 0.070247 0.003270 0.069705 0.002481
250000 20000.000000 -0.001401 -0.020084 0.068641 0.003636 0.068184 0.002591
312500 25000.000000 -0.001078 -0.022814 0.069409 0.003972 0.068865 0.002713
375000 30000.000000 -0.002351 -0.025124 0.074988 0.004252 0.074146 0.002797
437500 35000.000000 -0.007105 -0.027113 0.084571 0.004507 0.082868 0.002886
500000 40000.000000 -0.009296 -0.028591 0.098909 0.004731 0.096497 0.002968
562500 45000.000000 -0.011220 -0.030006 0.105065 0.004963 0.102171 0.003050
625000 50000.000000 -0.014149 -0.031106 0.102798 0.005099 0.099626 0.003060
687500 55000.000000 -0.015924 -0.032089 0.108156 0.005257 0.104428 0.003104
750000 60000.000000 -0.019687 -0.032970 0.113884 0.005411 0.109405 0.003137
812500 65000.000000 -0.022401 -0.033787 0.122248 0.005536 0.116826 0.003151
875000 70000.000000 -0.029657 -0.034537 0.129016 0.005646 0.121788 0.003154
937500 75000.000000 -0.037268 -0.035023 0.140624 0.005751 0.131539 0.003170
1000000 80000.000000 -0.041423 -0.035388 0.143536 0.005869 0.133778 0.003207
1062500 85000.000000 -0.045632 -0.035719 0.148014 0.005971 0.137139 0.003222
1125000 90000.000000 -0.049531 -0.036216 0.150741 0.006050 0.139183 0.003197
1187500 95000.000000 -0.055087 -0.036761 0.157131 0.006195 0.143808 0.003221
1250000 100000.000000 -0.059956 -0.037384 0.156645 0.006386 0.142337 0.003278
1312500 105000.000000 -0.067299 -0.037808 0.165609 0.006493 0.149317 0.003283
1375000 110000.000000 -0.066714 -0.038190 0.157646 0.006566 0.142358 0.003263
1437500 115000.000000 -0.069770 -0.038627 0.159244 0.006686 0.143145 0.003275
1500000 120000.000000 -0.076613 -0.039024 0.169531 0.006782 0.150870 0.003276
1562500 125000.000000 -0.078348 -0.039276 0.167059 0.006918 0.148399 0.003323
1625000 130000.000000 -0.079602 -0.039467 0.164125 0.007003 0.145748 0.003332
1687500 135000.000000 -0.082644 -0.039673 0.159241 0.007084 0.141269 0.003341
1750000 140000.000000 -0.085721 -0.039871 0.163179 0.007218 0.144297 0.003388
1812500 145000.000000 -0.088798 -0.040063 0.169654 0.007292 0.149513 0.003389
1875000 150000.000000 -0.090590 -0.040203 0.173203 0.007469 0.152003 0.003479
1937500 155000.000000 -0.095730 -0.040404 0.177691 0.007658 0.154989 0.003564
2000000 160000.000000 -0.094671 -0.040566 0.172372 0.007820 0.150432 0.003630
2062500 165000.000000 -0.093871 -0.040819 0.165886 0.007880 0.145067 0.003598
2125000 170000.000000 -0.099680 -0.041033 0.186408 0.007956 0.161465 0.003590
2187500 175000.000000 -0.098798 -0.041278 0.190254 0.008097 0.164996 0.003617
2250000 180000.000000 -0.103251 -0.041509 0.194906 0.008213 0.168092 0.003625
2312500 185000.000000 -0.105693 -0.041779 0.201181 0.008378 0.172667 0.003669
2375000 190000.000000 -0.117281 -0.041916 0.228837 0.008567 0.193230 0.003734
2437500 195000.000000 -0.125494 -0.042005 0.246489 0.008775 0.205439 0.003814
2500000 200000.000000 -0.131622 -0.042150 0.249398 0.008916 0.206377 0.003829
2562500 205000.000000 -0.135983 -0.042289 0.247461 0.009059 0.203671 0.003853
2625000 210000.000000 -0.138443 -0.042450 0.240600 0.009193 0.197243 0.003856
2687500 215000.000000 -0.142629 -0.042528 0.244437 0.009376 0.199084 0.003915
2750000 220000.000000 -0.145620 -0.042653 0.240847 0.009621 0.194970 0.004025
2812500 225000.000000 -0.155202 -0.042736 0.245553 0.009829 0.196367 0.004106
2875000 230000.000000 -0.160235 -0.042823 0.250825 0.009951 0.199114 0.004106
2937500 235000.000000 -0.166332 -0.042945 0.252526 0.010100 0.198665 0.004115
3000000 240000.000000 -0.166136 -0.042969 0.243809 0.010263 0.191228 0.004161
3062500 245000.000000 -0.173801 -0.043009 0.241435 0.010396 0.187478 0.004192
3125000 250000.000000 -0.185368 -0.043086 0.262094 0.010601 0.201458 0.004252
