Simulation from altruism.c performed at Mon Oct 17 14:41:21 2022

Output files are created with the same id as this file.
Predefined parameters:
Tmax = 5000001
DeltaTime = 0.080000
DeltaSpace = 0.100000
Initial population size = 335544
Number of positions = 1048576
Initial altruism level = 0.000000
Initial p = 1.000000
Death rate = 1.000000
Birth rate = 5.000000
Mutation probability production = 0.001000
Mean mutation size production = 0.005000
Mutation probability p = 0.005000
Mean mutation size p = 0.005000
Scale of altruism = 1
Scale of competition = 4
Scale of movement = 0.080000
B0 = 1.000000
BMAX = 5.000000
alpha = 0.500000
(1 - alpha)*kappa = 0.050000
kappa = 0.100000
K = 40
Number of fields (kernel) = 7
Timestep Time Population_size As Bs Mean_altruism_all Mean_altruism_A Mean_altruism_B Mean_p_all Mean_p_A Mean_p_B Mean_cost_all Mean_cost_A Mean_cost_B Mean_benefit_all Mean_benefit_A Mean_benefit_B Mean_production_all Mean_production_A Mean_production_B Covariance_p_altruism Mean_expressed_altruism
0 0.000000 335544 335544 0 0.000000 0.000000 -nan 1.000000 1.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000
62500 5000.000000 384010 373394 10616 0.023862 0.023814 0.025535 0.972163 0.972750 0.951521 0.020604 0.021190 0.000000 1.829330 1.827625 1.889317 0.023153 0.023123 0.024234 -0.000044 0.023156
125000 10000.000000 388450 376785 11665 0.033973 0.033969 0.034116 0.970107 0.971218 0.934236 0.028268 0.029143 0.000000 2.179345 2.180629 2.137884 0.032953 0.032986 0.031893 -0.000005 0.032949
187500 15000.000000 391097 377854 13243 0.040265 0.040302 0.039204 0.965993 0.966892 0.940343 0.032798 0.033948 0.000000 2.343816 2.345864 2.285370 0.038929 0.038999 0.036936 0.000034 0.038937
250000 20000.000000 394490 382169 12321 0.062823 0.062896 0.060560 0.968873 0.969608 0.946092 0.048408 0.049968 0.000000 2.749700 2.751727 2.686838 0.060933 0.061047 0.057409 0.000066 0.060931
312500 25000.000000 394478 379565 14913 0.065785 0.065710 0.067675 0.962474 0.963527 0.935663 0.049871 0.051830 0.000000 2.801784 2.801882 2.799278 0.063233 0.063234 0.063213 -0.000083 0.063226
375000 30000.000000 396015 378544 17471 0.079171 0.079323 0.075894 0.955888 0.957472 0.921580 0.058061 0.060741 0.000000 2.941083 2.944144 2.874768 0.075825 0.076092 0.070033 0.000146 0.075823
437500 35000.000000 396299 377190 19109 0.084302 0.084481 0.080778 0.951182 0.952807 0.919088 0.061016 0.064107 0.000000 3.000778 3.005281 2.911895 0.080352 0.080649 0.074479 0.000165 0.080407
500000 40000.000000 396446 373152 23294 0.077672 0.077621 0.078479 0.940929 0.943026 0.907342 0.056421 0.059943 0.000000 2.973853 2.976393 2.933167 0.073049 0.073163 0.071219 -0.000035 0.073061
562500 45000.000000 395239 369534 25705 0.071948 0.071792 0.074196 0.934741 0.937064 0.901350 0.052174 0.055803 0.000000 2.834967 2.835868 2.822007 0.067109 0.067127 0.066838 -0.000144 0.067123
625000 50000.000000 395006 368146 26860 0.075670 0.075246 0.081479 0.931964 0.935179 0.887904 0.054210 0.058165 0.000000 2.886107 2.883781 2.917989 0.070129 0.070005 0.071832 -0.000393 0.070130
687500 55000.000000 395269 364088 31181 0.076684 0.076025 0.084383 0.921782 0.925562 0.877644 0.053936 0.058555 0.000000 2.881011 2.876956 2.928363 0.070079 0.069780 0.073565 -0.000607 0.070027
750000 60000.000000 394139 360679 33460 0.070330 0.069861 0.075387 0.914788 0.918855 0.870948 0.049692 0.054302 0.000000 2.754146 2.754578 2.749485 0.063915 0.063786 0.065304 -0.000422 0.063930
812500 65000.000000 397072 359073 37999 0.091484 0.090219 0.103434 0.903951 0.908534 0.860640 0.061313 0.067801 0.000000 3.044146 3.036516 3.116245 0.081569 0.080876 0.088119 -0.001127 0.081585
875000 70000.000000 395825 353482 42343 0.082726 0.081816 0.090331 0.893825 0.898721 0.852951 0.055675 0.062344 0.000000 2.923714 2.918121 2.970403 0.073136 0.072724 0.076569 -0.000807 0.073063
937500 75000.000000 395633 346173 49460 0.085580 0.084422 0.093687 0.875160 0.880855 0.835301 0.055919 0.063909 0.000000 2.933564 2.926523 2.982848 0.073892 0.073373 0.077525 -0.001005 0.073868
1000000 80000.000000 395913 340385 55528 0.092405 0.090741 0.102606 0.859413 0.867104 0.812265 0.058380 0.067904 0.000000 3.003185 2.997764 3.036412 0.077978 0.077311 0.082068 -0.001437 0.078015
1062500 85000.000000 396021 332212 63809 0.096164 0.093942 0.107733 0.839264 0.847555 0.796100 0.058670 0.069939 0.000000 3.003030 2.992333 3.058720 0.078837 0.077808 0.084195 -0.001870 0.078805
1125000 90000.000000 395874 324133 71741 0.101993 0.098780 0.116508 0.819817 0.830000 0.773808 0.059585 0.072773 0.000000 3.010798 2.999736 3.060776 0.080952 0.079456 0.087712 -0.002663 0.080879
1187500 95000.000000 396498 313087 83411 0.111306 0.106052 0.131030 0.788462 0.802117 0.737205 0.060806 0.077005 0.000000 3.044075 3.022270 3.125920 0.083588 0.081076 0.093017 -0.004173 0.083742
1250000 100000.000000 397436 295650 101786 0.128151 0.122184 0.145485 0.744888 0.759222 0.703254 0.064792 0.087099 0.000000 3.155418 3.126651 3.238973 0.090987 0.088217 0.099033 -0.004471 0.090892
1312500 105000.000000 396935 287897 109038 0.119878 0.114891 0.133046 0.724019 0.737584 0.688203 0.059830 0.082490 0.000000 3.051130 3.021451 3.129492 0.083170 0.080975 0.088967 -0.003624 0.083331
1375000 110000.000000 397989 271148 126841 0.144025 0.139485 0.153730 0.680449 0.692815 0.654014 0.066368 0.097414 0.000000 3.178175 3.161548 3.213718 0.094895 0.093282 0.098343 -0.003107 0.095030
1437500 115000.000000 396887 267040 129847 0.139379 0.135624 0.147099 0.671988 0.686346 0.642461 0.063966 0.095069 0.000000 3.115529 3.107679 3.131673 0.091114 0.090384 0.092614 -0.002547 0.091253
1500000 120000.000000 397890 261605 136285 0.148034 0.144387 0.155034 0.658801 0.673749 0.630108 0.065933 0.100282 0.000000 3.155959 3.149346 3.168654 0.095134 0.094747 0.095876 -0.002391 0.094932
1562500 125000.000000 397182 256913 140269 0.148906 0.146351 0.153586 0.647264 0.661605 0.620998 0.065637 0.101473 0.000000 3.146652 3.148536 3.143203 0.094682 0.095012 0.094078 -0.001699 0.094666
1625000 130000.000000 397843 257232 140611 0.151347 0.148937 0.155757 0.646178 0.660665 0.619675 0.066767 0.103264 0.000000 3.182395 3.193032 3.162936 0.096233 0.096909 0.094995 -0.001565 0.096298
1687500 135000.000000 397044 259035 138009 0.138150 0.135922 0.142332 0.652661 0.669183 0.621651 0.062393 0.095635 0.000000 3.119872 3.129176 3.102409 0.088636 0.089525 0.086969 -0.001529 0.088676
1750000 140000.000000 397335 259127 138208 0.129228 0.125711 0.135823 0.652333 0.671551 0.616301 0.058292 0.089383 0.000000 3.042142 3.044811 3.037138 0.081982 0.082270 0.081443 -0.002318 0.081984
1812500 145000.000000 396455 256959 139496 0.128993 0.124780 0.136754 0.647856 0.668854 0.609176 0.057422 0.088595 0.000000 3.005847 3.010563 2.997159 0.080819 0.080892 0.080683 -0.002750 0.080875
1875000 150000.000000 397092 253902 143190 0.140553 0.135227 0.149996 0.638847 0.660776 0.599964 0.060659 0.094869 0.000000 3.077513 3.068717 3.093110 0.086430 0.085946 0.087287 -0.003362 0.086465
1937500 155000.000000 397653 247773 149880 0.168880 0.165414 0.174610 0.624676 0.641035 0.597633 0.070170 0.112616 0.000000 3.228738 3.233775 3.220411 0.103333 0.103586 0.102915 -0.002163 0.103068
2000000 160000.000000 397971 245689 152282 0.176602 0.171257 0.185225 0.617757 0.632308 0.594281 0.071394 0.115646 0.000000 3.251903 3.241477 3.268726 0.105796 0.104788 0.107421 -0.003301 0.105726
2062500 165000.000000 398390 240220 158170 0.184407 0.179687 0.191575 0.601992 0.615907 0.580858 0.072728 0.120614 0.000000 3.282776 3.277825 3.290295 0.108129 0.107520 0.109054 -0.002882 0.108347
2125000 170000.000000 398187 235602 162585 0.178455 0.173534 0.185585 0.591299 0.604978 0.571478 0.069368 0.117237 0.000000 3.262124 3.255530 3.271680 0.102561 0.101997 0.103378 -0.002960 0.102678
2187500 175000.000000 397605 231206 166399 0.170682 0.163672 0.180421 0.581370 0.597889 0.558418 0.064778 0.111399 0.000000 3.182908 3.178934 3.188429 0.095191 0.094242 0.096511 -0.004038 0.095175
2250000 180000.000000 397666 225507 172159 0.174830 0.163553 0.189601 0.566971 0.587001 0.540735 0.062898 0.110916 0.000000 3.118429 3.100411 3.142031 0.092833 0.090559 0.095811 -0.006291 0.092747
2312500 185000.000000 397717 217389 180328 0.188668 0.173165 0.207357 0.547227 0.573594 0.515439 0.063565 0.116293 0.000000 3.163949 3.138860 3.194195 0.094868 0.091899 0.098448 -0.008376 0.094651
2375000 190000.000000 396743 213054 183689 0.180297 0.163234 0.200087 0.536862 0.567772 0.501010 0.059287 0.110402 0.000000 3.087287 3.056129 3.123426 0.087570 0.084518 0.091110 -0.009224 0.087658
2437500 195000.000000 396443 204754 191689 0.178857 0.161182 0.197737 0.514936 0.547912 0.479713 0.056319 0.109045 0.000000 3.040329 3.013982 3.068471 0.082819 0.079926 0.085908 -0.009281 0.083247
2500000 200000.000000 396264 199078 197186 0.165683 0.149764 0.181755 0.502902 0.537150 0.468326 0.051522 0.102554 0.000000 2.957258 2.930796 2.983973 0.075295 0.072777 0.077838 -0.008027 0.075240
2562500 205000.000000 396608 182894 213714 0.198578 0.176991 0.217052 0.462181 0.495927 0.433300 0.054330 0.117816 0.000000 3.007101 2.962718 3.045084 0.081848 0.078192 0.084977 -0.009930 0.081619
2625000 210000.000000 397111 169696 227415 0.225988 0.204649 0.241911 0.427482 0.456392 0.405911 0.057052 0.133510 0.000000 3.086129 3.051985 3.111607 0.087405 0.084579 0.089513 -0.009201 0.087452
2687500 215000.000000 396524 162938 233586 0.222872 0.199396 0.239247 0.410773 0.438684 0.391304 0.053547 0.130312 0.000000 3.005232 2.970045 3.029776 0.081899 0.079442 0.083613 -0.009651 0.081935
2750000 220000.000000 396527 156614 239913 0.229682 0.199484 0.249395 0.394988 0.425825 0.374858 0.051633 0.130728 0.000000 2.997100 2.977588 3.009837 0.078838 0.077296 0.079845 -0.011883 0.078789
2812500 225000.000000 395412 152978 242434 0.229937 0.197122 0.250643 0.386714 0.417578 0.367239 0.049850 0.128849 0.000000 2.913751 2.888561 2.929646 0.076226 0.074690 0.077195 -0.012694 0.076263
2875000 230000.000000 396809 149574 247235 604282.655867 0.218964 969865.769978 0.377729 0.409837 0.358303 0.053466 0.141842 0.000000 3.041034 3.046713 3.037598 0.082699 0.083193 0.082400 -228254.764724 0.082537
2937500 235000.000000 396802 157222 239580 0.228640 0.214676 0.237804 0.395172 0.424229 0.376103 0.055376 0.139759 0.000000 3.064400 3.094504 3.044644 0.084974 0.088082 0.082934 -0.005379 0.085059
3000000 240000.000000 397498 165499 231999 0.250525 0.240434 0.257723 0.417356 0.447209 0.396059 0.064165 0.154111 0.000000 3.186784 3.227400 3.157811 0.100392 0.104390 0.097540 -0.004166 0.100105
3062500 245000.000000 398745 171977 226768 0.265030 0.250141 0.276321 0.430974 0.465021 0.405154 0.068765 0.159439 0.000000 3.257707 3.296839 3.228030 0.107638 0.111710 0.104550 -0.006583 0.107885
3125000 250000.000000 398159 174495 223664 0.262036 0.247629 0.273276 0.437212 0.474349 0.408240 0.069249 0.158011 0.000000 3.263452 3.310025 3.227119 0.108200 0.113637 0.103958 -0.006365 0.108525
3187500 255000.000000 398097 178978 219119 0.239861 0.227218 0.250187 0.451332 0.489062 0.420514 0.066117 0.147062 0.000000 3.226378 3.274898 3.186748 0.102628 0.107821 0.098387 -0.005629 0.102154
3250000 260000.000000 397049 184351 212698 0.212698 0.205304 0.219107 0.463562 0.499915 0.432053 0.062603 0.134832 0.000000 3.110511 3.166525 3.061962 0.095280 0.100933 0.090379 -0.003319 0.095323
3312500 265000.000000 397830 196429 201401 0.224561 0.214388 0.234484 0.493206 0.524645 0.462544 0.069116 0.139981 0.000000 3.250628 3.282379 3.219660 0.105744 0.109152 0.102420 -0.005012 0.105854
3375000 270000.000000 397645 197235 200410 0.222568 0.210280 0.234663 0.496347 0.527603 0.465585 0.068258 0.137614 0.000000 3.239657 3.263660 3.216035 0.104288 0.106689 0.101926 -0.006183 0.104300
3437500 275000.000000 398425 199934 198491 0.214937 0.200838 0.229140 0.500880 0.532477 0.469054 0.066417 0.132355 0.000000 3.198040 3.226179 3.169697 0.100481 0.102877 0.098068 -0.007177 0.100783
3500000 280000.000000 397921 198652 199269 0.217266 0.199410 0.235066 0.499697 0.529197 0.470287 0.065698 0.131600 0.000000 3.207900 3.218825 3.197008 0.099630 0.100486 0.098776 -0.008938 0.099551
3562500 285000.000000 397887 200163 197724 0.212943 0.189150 0.237029 0.502214 0.538124 0.465860 0.063186 0.125601 0.000000 3.166314 3.179980 3.152480 0.094962 0.095665 0.094251 -0.011980 0.095155
3625000 290000.000000 397740 196256 201484 0.226836 0.198365 0.254568 0.493168 0.533795 0.453594 0.064471 0.130659 0.000000 3.205796 3.204145 3.207404 0.097839 0.096880 0.098774 -0.014029 0.097879
3687500 295000.000000 396766 187476 209290 13760.146232 0.195646 26085.916675 0.472302 0.521161 0.428536 0.060712 0.128488 0.000000 3.134804 3.126869 3.141912 0.092577 0.090629 0.094322 -6498.857423 0.092445
3750000 300000.000000 397814 177479 220335 0.277220 0.222166 0.321566 0.447616 0.505329 0.401128 0.063699 0.142780 0.000000 3.196245 3.154423 3.229933 0.099179 0.094701 0.102786 -0.024909 0.099116
3812500 305000.000000 397546 165938 231608 0.319652 0.235154 0.380190 0.417357 0.486279 0.367977 0.062035 0.148619 0.000000 3.156744 3.092417 3.202831 0.098467 0.090546 0.104142 -0.034942 0.098155
3875000 310000.000000 397693 146766 250927 0.383431 0.276644 0.445890 0.369903 0.449158 0.323548 0.063151 0.171121 0.000000 3.233064 3.154955 3.278750 0.102388 0.094274 0.107134 -0.039444 0.102094
3937500 315000.000000 398036 129035 269001 0.435885 0.332190 0.485625 0.325532 0.388609 0.295275 0.065108 0.200838 0.000000 3.249807 3.182698 3.281999 0.108183 0.100415 0.111909 -0.033711 0.107689
