Simulation from altruism.c performed at Wed Oct 12 16:45:13 2022

Output files are created with the same id as this file.
Predefined parameters:
Tmax = 5000001
DeltaTime = 0.080000
DeltaSpace = 0.100000
Initial population size = 335544
Number of positions = 1048576
Initial altruism level = 0.000000
Initial p = 1.000000
Death rate = 1.000000
Birth rate = 5.000000
Mutation probability production = 0.001000
Mean mutation size production = 0.005000
Mutation probability p = 0.001000
Mean mutation size p = 0.005000
Scale of altruism = 1
Scale of competition = 4
Scale of movement = 0.080000
B0 = 1.000000
BMAX = 5.000000
alpha = 0.100000
(1 - alpha)*kappa = 0.090000
kappa = 0.100000
K = 40
Number of fields (kernel) = 7
Timestep Time Population_size As Bs Mean_altruism_all Mean_altruism_A Mean_altruism_B Mean_p_all Mean_p_A Mean_p_B Mean_cost_all Mean_cost_A Mean_cost_B Mean_benefit_all Mean_benefit_A Mean_benefit_B Mean_production_all Mean_production_A Mean_production_B Covariance_p_altruism Mean_expressed_altruism
0 0.000000 335544 335544 0 0.000000 0.000000 -nan 1.000000 1.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000
62500 5000.000000 391646 388626 3020 0.045707 0.045703 0.046214 0.992388 0.992467 0.982173 0.031172 0.031414 0.000000 2.445004 2.445023 2.442564 0.045353 0.045353 0.045396 -0.000006 0.045351
125000 10000.000000 395575 390151 5424 0.065780 0.065764 0.066966 0.986070 0.986262 0.972290 0.040495 0.041058 0.000000 2.835870 2.835571 2.857431 0.064853 0.064849 0.065150 -0.000011 0.064862
187500 15000.000000 396253 389075 7178 0.073546 0.073546 0.073560 0.981759 0.982074 0.964718 0.043395 0.044195 0.000000 2.955792 2.955874 2.951375 0.072215 0.072238 0.070948 0.000011 0.072213
250000 20000.000000 395966 387483 8483 0.072276 0.072329 0.069867 0.978519 0.978943 0.959180 0.042327 0.043253 0.000000 2.889245 2.890534 2.830381 0.070774 0.070852 0.067205 0.000051 0.070779
312500 25000.000000 395260 385747 9513 0.073381 0.073341 0.075026 0.976106 0.976564 0.957500 0.042417 0.043463 0.000000 2.883365 2.883467 2.879192 0.071578 0.071569 0.071966 -0.000050 0.071576
375000 30000.000000 396347 385441 10906 0.079279 0.079144 0.084048 0.972513 0.973016 0.954737 0.044667 0.045931 0.000000 3.000075 2.999007 3.037821 0.076980 0.076888 0.080249 -0.000119 0.076966
437500 35000.000000 396660 383095 13565 0.089083 0.088789 0.097389 0.965758 0.966363 0.948667 0.047416 0.049095 0.000000 3.076362 3.074282 3.135107 0.085757 0.085529 0.092187 -0.000276 0.085753
500000 40000.000000 397315 382079 15236 0.103610 0.103360 0.109890 0.962118 0.962824 0.944399 0.052228 0.054310 0.000000 3.196812 3.195433 3.231390 0.099436 0.099267 0.103682 -0.000249 0.099396
562500 45000.000000 398487 382064 16423 0.110025 0.109740 0.116646 0.958760 0.959505 0.941427 0.054271 0.056604 0.000000 3.299631 3.298383 3.328658 0.105215 0.105022 0.109718 -0.000272 0.105217
