Simulation from altruism.c performed at Wed Oct 12 16:44:43 2022

Output files are created with the same id as this file.
Predefined parameters:
Tmax = 5000001
DeltaTime = 0.080000
DeltaSpace = 0.100000
Initial population size = 335544
Number of positions = 1048576
Initial altruism level = 0.000000
Initial p = 1.000000
Death rate = 1.000000
Birth rate = 5.000000
Mutation probability production = 0.001000
Mean mutation size production = 0.005000
Mutation probability p = 0.001000
Mean mutation size p = 0.005000
Scale of altruism = 1
Scale of competition = 4
Scale of movement = 0.080000
B0 = 1.000000
BMAX = 5.000000
alpha = 0.500000
(1 - alpha)*kappa = 0.050000
kappa = 0.100000
K = 40
Number of fields (kernel) = 7
Timestep Time Population_size As Bs Mean_altruism_all Mean_altruism_A Mean_altruism_B Mean_p_all Mean_p_A Mean_p_B Mean_cost_all Mean_cost_A Mean_cost_B Mean_benefit_all Mean_benefit_A Mean_benefit_B Mean_production_all Mean_production_A Mean_production_B Covariance_p_altruism Mean_expressed_altruism
0 0.000000 335544 335544 0 0.000000 0.000000 -nan 1.000000 1.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000
62500 5000.000000 386663 383878 2785 0.030173 0.030169 0.030675 0.992906 0.992978 0.983058 0.026027 0.026216 0.000000 2.074067 2.074114 2.067563 0.029957 0.029955 0.030151 -0.000002 0.029952
125000 10000.000000 388960 384759 4201 0.034266 0.034273 0.033643 0.989382 0.989537 0.975220 0.029079 0.029396 0.000000 2.204809 2.205234 2.165862 0.033909 0.033922 0.032775 0.000007 0.033903
187500 15000.000000 391515 385943 5572 0.043374 0.043374 0.043370 0.985604 0.985840 0.969230 0.035737 0.036253 0.000000 2.422922 2.423258 2.399623 0.042751 0.042761 0.042055 0.000001 0.042757
250000 20000.000000 392413 385212 7201 0.048242 0.048250 0.047824 0.982032 0.982292 0.968115 0.038962 0.039691 0.000000 2.510320 2.510687 2.490650 0.047374 0.047394 0.046325 -0.000001 0.047365
312500 25000.000000 394208 387102 7106 0.058795 0.058844 0.056120 0.982152 0.982459 0.965442 0.046348 0.047198 0.000000 2.709687 2.711351 2.619034 0.057790 0.057855 0.054270 0.000045 0.057783
375000 30000.000000 394955 387655 7300 0.061111 0.061086 0.062425 0.981184 0.981478 0.965594 0.047902 0.048804 0.000000 2.761944 2.761800 2.769623 0.059934 0.059928 0.060262 -0.000027 0.059957
437500 35000.000000 395157 385979 9178 0.067137 0.067106 0.068426 0.976716 0.977080 0.961419 0.051654 0.052882 0.000000 2.829095 2.828467 2.855534 0.065542 0.065536 0.065785 -0.000032 0.065548
500000 40000.000000 394864 384513 10351 0.070854 0.070785 0.073436 0.973803 0.974255 0.956999 0.053618 0.055061 0.000000 2.850836 2.850014 2.881389 0.068935 0.068899 0.070275 -0.000064 0.068929
562500 45000.000000 396380 383841 12539 0.084247 0.084106 0.088572 0.968125 0.968666 0.951573 0.061990 0.064015 0.000000 3.035312 3.033994 3.075675 0.081405 0.081310 0.084303 -0.000157 0.081445
625000 50000.000000 396739 382829 13910 0.082830 0.082650 0.087787 0.964939 0.965543 0.948306 0.060904 0.063117 0.000000 3.036744 3.035515 3.070562 0.079753 0.079631 0.083119 -0.000172 0.079752
687500 55000.000000 395944 379478 16466 0.078853 0.078488 0.087279 0.958270 0.959092 0.939317 0.057663 0.060165 0.000000 2.947494 2.944878 3.007796 0.075208 0.074932 0.081572 -0.000355 0.075224
