Timestep Time cumulativeSelectionP cumulativeTransmissionP cumulativeSelectionAltruism cumulativeTransmissionAltruism cumulativeSelectionProduct cumulativeTransmissionProduct
0 0.000000 0.000000 -0.000001 0.000000 0.000000 0.000000 0.000000
62500 5000.000000 0.001302 -0.023745 0.028153 0.003888 0.027787 0.003539
125000 10000.000000 -0.000746 -0.034513 0.033960 0.004739 0.033397 0.003920
187500 15000.000000 0.000089 -0.043541 0.038095 0.005621 0.037385 0.004388
250000 20000.000000 0.008082 -0.052162 0.040877 0.006354 0.040623 0.004639
312500 25000.000000 0.022064 -0.061721 0.044572 0.007058 0.044844 0.004773
375000 30000.000000 0.032079 -0.072107 0.039069 0.007835 0.040059 0.004928
437500 35000.000000 0.037188 -0.080881 0.040874 0.008527 0.042013 0.005143
500000 40000.000000 0.039762 -0.088897 0.030273 0.009222 0.032051 0.005429
562500 45000.000000 0.038567 -0.095510 0.032671 0.009860 0.034354 0.005740
625000 50000.000000 0.037013 -0.101730 0.032528 0.010566 0.034117 0.006090
687500 55000.000000 0.049795 -0.109176 0.028502 0.011174 0.030971 0.006314
750000 60000.000000 0.030375 -0.115959 0.036177 0.011885 0.036874 0.006652
812500 65000.000000 0.027686 -0.121303 0.035491 0.012516 0.036475 0.006939
875000 70000.000000 0.033687 -0.126769 0.035521 0.013035 0.036386 0.007120
937500 75000.000000 0.016408 -0.130300 0.043917 0.013502 0.043356 0.007318
1000000 80000.000000 0.021805 -0.134147 0.034418 0.013999 0.035377 0.007497
1062500 85000.000000 0.032688 -0.137566 0.033112 0.014689 0.034848 0.007896
1125000 90000.000000 0.054169 -0.141553 0.034834 0.015197 0.037862 0.008115
1187500 95000.000000 0.072782 -0.145302 0.038078 0.015675 0.041510 0.008311
1250000 100000.000000 0.082688 -0.148744 0.037381 0.016116 0.041454 0.008478
1312500 105000.000000 0.084620 -0.153209 0.040935 0.016589 0.044919 0.008634
1375000 110000.000000 0.095142 -0.156941 0.036478 0.017042 0.041424 0.008792
1437500 115000.000000 0.089941 -0.162998 0.027312 0.017656 0.032371 0.009032
1500000 120000.000000 0.090962 -0.168148 0.035845 0.018177 0.040650 0.009241
1562500 125000.000000 0.109058 -0.174342 0.033456 0.018785 0.039289 0.009447
1625000 130000.000000 0.104319 -0.179693 0.028450 0.019316 0.033950 0.009675
1687500 135000.000000 0.072441 -0.182751 0.032785 0.019764 0.036193 0.009902
1750000 140000.000000 0.049384 -0.184330 0.037976 0.020117 0.039505 0.010063
1812500 145000.000000 0.002156 -0.185968 0.060986 0.020348 0.053249 0.010085
1875000 150000.000000 -0.052354 -0.186723 0.063066 0.020629 0.050506 0.010141
1937500 155000.000000 -0.102204 -0.187145 0.070699 0.021087 0.053308 0.010288
