Timestep Time cumulativeSelectionP cumulativeTransmissionP cumulativeSelectionAltruism cumulativeTransmissionAltruism cumulativeSelectionProduct cumulativeTransmissionProduct
4437500 355000.000000 -0.712909 -0.120355 711143816.096159 -704169171.077165 0.076134 0.006243
4500000 360000.000000 -0.689323 -0.119184 740723550.304196 -733633682.624899 0.083827 0.006293
4562500 365000.000000 -0.671188 -0.118717 736564274.962274 -732692315.075475 0.088839 0.006297
4625000 370000.000000 -0.676393 -0.118396 746701086.133438 -745793619.067186 0.074653 0.006335
4687500 375000.000000 -0.674105 -0.118215 752336241.695224 -750514925.241981 0.071405 0.006388
4750000 380000.000000 -0.674383 -0.117993 757310546.826505 -754835279.041481 0.066066 0.006451
4812500 385000.000000 -0.679512 -0.117517 760640312.216702 -759050606.524426 0.065696 0.006482
4875000 390000.000000 -0.692096 -0.116738 788683251.918005 -784101117.470863 0.064118 0.006502
4937500 395000.000000 -0.690830 -0.115695 827647088.189615 -822542792.183841 0.063939 0.006625
5000000 400000.000000 -0.695656 -0.114404 859103405.317322 -847480521.914831 0.059334 0.006745
