Simulation from altruism.c performed at Mon Oct 17 14:37:13 2022

Output files are created with the same id as this file.
Predefined parameters:
Tmax = 5000001
DeltaTime = 0.080000
DeltaSpace = 0.100000
Initial population size = 335544
Number of positions = 1048576
Initial altruism level = 0.000000
Initial p = 1.000000
Death rate = 1.000000
Birth rate = 5.000000
Mutation probability production = 0.001000
Mean mutation size production = 0.005000
Mutation probability p = 0.005000
Mean mutation size p = 0.005000
Scale of altruism = 1
Scale of competition = 4
Scale of movement = 0.080000
B0 = 1.000000
BMAX = 5.000000
alpha = 0.100000
(1 - alpha)*kappa = 0.090000
kappa = 0.100000
K = 40
Number of fields (kernel) = 7
Timestep Time Population_size As Bs Mean_altruism_all Mean_altruism_A Mean_altruism_B Mean_p_all Mean_p_A Mean_p_B Mean_cost_all Mean_cost_A Mean_cost_B Mean_benefit_all Mean_benefit_A Mean_benefit_B Mean_production_all Mean_production_A Mean_production_B Covariance_p_altruism Mean_expressed_altruism
0 0.000000 335544 335544 0 0.000000 0.000000 -nan 1.000000 1.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000
62500 5000.000000 387424 375408 12016 0.033192 0.033137 0.034908 0.968889 0.969495 0.949971 0.023714 0.024473 0.000000 2.088730 2.086755 2.150434 0.032099 0.032066 0.033122 -0.000061 0.032110
125000 10000.000000 394305 377529 16776 0.062324 0.062431 0.059933 0.957866 0.958887 0.934881 0.037907 0.039591 0.000000 2.769153 2.772271 2.698995 0.059804 0.059965 0.056175 0.000105 0.059774
187500 15000.000000 395681 377360 18321 0.076869 0.077017 0.073825 0.953692 0.955395 0.918630 0.042972 0.045058 0.000000 2.930997 2.934355 2.861840 0.073479 0.073746 0.067987 0.000170 0.073451
250000 20000.000000 396576 375863 20713 0.085614 0.085564 0.086505 0.947569 0.949545 0.911700 0.045591 0.048103 0.000000 3.012828 3.013583 2.999130 0.081067 0.081180 0.079017 -0.000057 0.081095
312500 25000.000000 397569 373813 23756 0.099501 0.099365 0.101640 0.940424 0.942525 0.907358 0.049889 0.053059 0.000000 3.156962 3.156845 3.158802 0.093434 0.093506 0.092297 -0.000139 0.093428
375000 30000.000000 398464 369798 28666 0.114406 0.114288 0.115937 0.928518 0.931518 0.889828 0.053913 0.058093 0.000000 3.295945 3.297573 3.274954 0.106112 0.106355 0.102988 -0.000116 0.106066
437500 35000.000000 398198 366393 31805 0.119701 0.119476 0.122294 0.920147 0.924115 0.874440 0.054927 0.059694 0.000000 3.312891 3.315011 3.288459 0.109920 0.110195 0.106751 -0.000222 0.109933
500000 40000.000000 398035 363094 34941 0.115798 0.115494 0.118960 0.913046 0.917632 0.865393 0.053008 0.058109 0.000000 3.290398 3.292533 3.268215 0.105454 0.105700 0.102896 -0.000275 0.105355
562500 45000.000000 398760 361726 37034 0.129919 0.130332 0.125893 0.906572 0.911498 0.858459 0.055875 0.061596 0.000000 3.316596 3.322655 3.257424 0.118180 0.119175 0.108464 0.000399 0.118227
625000 50000.000000 399716 362445 37271 0.161098 0.161214 0.159976 0.907257 0.912222 0.858976 0.063488 0.070016 0.000000 3.527741 3.533042 3.476192 0.146253 0.147146 0.137566 0.000095 0.146182
687500 55000.000000 400319 359814 40505 0.160333 0.159999 0.163300 0.898381 0.904483 0.844175 0.062335 0.069352 0.000000 3.506176 3.509635 3.475448 0.143692 0.144386 0.137527 -0.000349 0.143810
750000 60000.000000 399418 353962 45456 0.155320 0.154133 0.164564 0.886271 0.894522 0.822019 0.059797 0.067477 0.000000 3.438190 3.441347 3.413604 0.136612 0.136994 0.133635 -0.001044 0.136592
812500 65000.000000 398677 347614 51063 0.169019 0.166158 0.188494 0.872162 0.882111 0.804435 0.060679 0.069593 0.000000 3.448232 3.444408 3.474267 0.144913 0.144388 0.148490 -0.002499 0.144877
875000 70000.000000 400474 344060 56414 0.207711 0.204164 0.229348 0.859147 0.869689 0.794852 0.067013 0.078000 0.000000 3.605690 3.603320 3.620143 0.175390 0.174727 0.179435 -0.003064 0.175403
937500 75000.000000 400272 337988 62284 0.231595 0.227044 0.256296 0.844365 0.856627 0.777824 0.070151 0.083078 0.000000 3.706806 3.705171 3.715680 0.191672 0.190950 0.195593 -0.003879 0.191715
1000000 80000.000000 401119 332223 68896 0.231484 0.225449 0.260585 0.828064 0.842738 0.757305 0.068307 0.082472 0.000000 3.692563 3.690297 3.703491 0.186672 0.185555 0.192057 -0.005012 0.186726
1062500 85000.000000 400647 326811 73836 0.245820 0.238500 0.278220 0.815424 0.831549 0.744051 0.069168 0.084795 0.000000 3.707594 3.703739 3.724657 0.194466 0.192912 0.201341 -0.005982 0.194546
1125000 90000.000000 400948 316662 84286 0.270016 0.256553 0.320598 0.789052 0.811635 0.704208 0.069065 0.087448 0.000000 3.722633 3.714225 3.754223 0.202378 0.198932 0.215326 -0.010679 0.202621
1187500 95000.000000 401635 302533 99102 0.309454 0.291963 0.362851 0.752465 0.779072 0.671241 0.070630 0.093767 0.000000 3.782407 3.773714 3.808943 0.219598 0.216078 0.230344 -0.013255 0.219922
1250000 100000.000000 401420 291329 110091 0.322301 0.298031 0.386527 0.726769 0.760964 0.636282 0.068486 0.094366 0.000000 3.778450 3.767391 3.807717 0.216543 0.211822 0.229036 -0.017696 0.216295
1312500 105000.000000 400910 282909 118001 0.345753 0.314404 0.420911 0.705325 0.745976 0.607864 0.068347 0.096854 0.000000 3.795988 3.783966 3.824812 0.221721 0.215960 0.235533 -0.022147 0.221865
1375000 110000.000000 401421 266299 135122 0.400176 0.347349 0.504289 0.663532 0.715019 0.562060 0.066908 0.100858 0.000000 3.804838 3.781966 3.849916 0.230565 0.219489 0.252393 -0.034964 0.230428
1437500 115000.000000 401645 249025 152620 0.454998 0.384395 0.570198 0.619642 0.677834 0.524691 0.065468 0.105591 0.000000 3.843571 3.812444 3.894360 0.237760 0.223213 0.261495 -0.044176 0.238330
1500000 120000.000000 401159 233443 167716 0.519096 0.422347 0.653761 0.581935 0.651319 0.485359 0.064008 0.109994 0.000000 3.853569 3.807362 3.917885 0.246079 0.227001 0.272633 -0.056001 0.245773
1562500 125000.000000 401387 218679 182708 0.578838 0.461285 0.719535 0.545551 0.622344 0.453640 0.062665 0.115023 0.000000 3.860231 3.808492 3.922156 0.251876 0.230882 0.277002 -0.063910 0.251312
1625000 130000.000000 401886 197002 204884 1638674.237129 0.527280 3214307.269419 0.490502 0.575136 0.409124 0.060421 0.123260 0.000000 3.883334 3.836771 3.928106 0.258766 0.237668 0.279052 -803773.240885 0.258469
1687500 135000.000000 401434 177135 224299 3081988.496865 0.597504 5515917.879308 0.440505 0.531023 0.369020 0.058136 0.131751 0.000000 3.895910 3.858539 3.925423 0.263659 0.243567 0.279526 -1357629.998704 0.263652
1750000 140000.000000 401604 162040 239564 1967669.169718 0.657124 3298591.202162 0.403179 0.512484 0.329245 0.055828 0.138366 0.000000 3.904770 3.853640 3.939354 0.265132 0.243121 0.280020 -793322.322368 0.265138
1812500 145000.000000 401580 149364 252216 2959139.686683 0.707377 4711561.557242 0.373679 0.493690 0.302609 0.053444 0.143691 0.000000 3.902727 3.845379 3.936690 0.264836 0.239996 0.279547 -1105769.364697 0.263102
1875000 150000.000000 401644 138513 263131 16086226.972456 0.766849 24554067.897386 0.344804 0.487553 0.269660 0.051635 0.149724 0.000000 3.919202 3.844155 3.958707 0.264816 0.236523 0.279710 -5546590.300441 0.264460
1937500 155000.000000 402274 129211 273063 37112503.195097 0.801970 54673811.562463 0.321700 0.491071 0.241556 0.049168 0.153076 0.000000 3.903690 3.835592 3.935913 0.263236 0.233058 0.277516 -11939107.628519 0.257594
2000000 160000.000000 401032 120456 280576 45456833.737956 0.849098 64972217.314814 0.300063 0.474869 0.225015 0.047324 0.157555 0.000000 3.880086 3.808717 3.910725 0.262205 0.228201 0.276803 -13639894.049832 0.255039
2062500 165000.000000 402529 104999 297530 87861414.975911 0.966209 118867903.765619 0.262161 0.447999 0.196579 0.044425 0.170310 0.000000 3.877376 3.817606 3.898469 0.262566 0.228015 0.274759 -23033879.431744 0.252034
2125000 170000.000000 401355 97486 303869 87936762.294261 1.015407 116148271.563163 0.242228 0.432150 0.181298 0.042535 0.175117 0.000000 3.854856 3.784237 3.877511 0.259190 0.221608 0.271247 -21300751.700058 0.246634
2187500 175000.000000 401035 88492 312543 119145335.827052 1.126447 152879602.658578 0.220675 0.419728 0.164317 0.041109 0.186303 0.000000 3.855596 3.778717 3.877363 0.258240 0.218635 0.269454 -26292448.390068 0.248561
2250000 180000.000000 401548 81446 320102 126034695.862177 1.174851 158102667.144781 0.203325 0.380802 0.158168 0.039033 0.192443 0.000000 3.813216 3.772968 3.823457 0.250752 0.217272 0.259270 -25626016.642705 0.238295
2312500 185000.000000 402453 73670 328783 69840473.561720 1.322824 85489541.761233 0.183846 0.328597 0.151411 0.038361 0.209561 0.000000 3.877381 3.823421 3.889472 0.249688 0.222449 0.255791 -12839858.793933 0.242146
2375000 190000.000000 401318 71088 330230 83871613.440881 1.369751 101926499.910652 0.177178 0.329759 0.144332 0.037942 0.214197 0.000000 3.855005 3.810207 3.864648 0.248725 0.221408 0.254606 -14860175.949680 0.242633
2437500 195000.000000 401535 64687 336848 75100641.161638 1.498054 89522680.413527 0.161345 0.308064 0.133170 0.036671 0.227630 0.000000 3.847285 3.800387 3.856291 0.246456 0.219411 0.251650 -12117135.150598 0.241335
2500000 200000.000000 402094 62641 339453 90453796.512957 1.510738 107145698.404327 0.155388 0.296596 0.129330 0.035691 0.229104 0.000000 3.830782 3.791215 3.838083 0.245337 0.219760 0.250057 -14055431.987490 0.235353
2562500 205000.000000 402018 58101 343917 83451103.248237 1.608620 97549250.348741 0.143881 0.284901 0.120057 0.034583 0.239291 0.000000 3.826944 3.801189 3.831295 0.241789 0.216298 0.246095 -12006989.818843 0.232483
2625000 210000.000000 401988 55149 346839 75183380.955829 1.680657 87137884.871615 0.138093 0.263584 0.118139 0.033940 0.247394 0.000000 3.835572 3.819211 3.838173 0.242653 0.219264 0.246372 -10382264.611985 0.230570
2687500 215000.000000 400966 54238 346728 101931978.697756 1.718976 117877003.522323 0.134739 0.268410 0.113829 0.033990 0.251279 0.000000 3.810496 3.812971 3.810109 0.241506 0.219653 0.244925 -13734207.465749 0.232523
2750000 220000.000000 401157 56065 345092 110866847.004050 1.610308 128878709.600098 0.139756 0.269095 0.118743 0.033556 0.240104 0.000000 3.798067 3.801024 3.797587 0.236679 0.213750 0.240404 -15494274.651972 0.225054
2812500 225000.000000 401465 50635 350830 100411868.094949 1.784586 114904228.641724 0.125835 0.258898 0.106630 0.032538 0.257983 0.000000 3.798895 3.800586 3.798651 0.236121 0.214558 0.239234 -12635335.052632 0.225082
2875000 230000.000000 401967 46848 355119 110493663.765891 1.984722 125070205.902820 0.116801 0.218456 0.103390 0.032626 0.279943 0.000000 3.826856 3.840899 3.825003 0.236604 0.223080 0.238388 -12905744.909566 0.231313
2937500 235000.000000 400788 45514 355274 132755412.650754 1.956968 149762651.464505 0.113286 0.217372 0.099952 0.031484 0.277239 0.000000 3.803598 3.842337 3.798635 0.234454 0.223422 0.235867 -15039344.954346 0.222236
3000000 240000.000000 401792 44807 356985 55140369.925911 2.013839 62061317.486838 0.111246 0.204425 0.099550 0.031596 0.283330 0.000000 3.830091 3.843344 3.828427 0.233287 0.222336 0.234662 -6134120.354195 0.224579
3062500 245000.000000 401412 41178 360234 104137146.422362 2.160686 116040962.626298 0.102130 0.201104 0.090817 0.030577 0.298067 0.000000 3.798600 3.811904 3.797080 0.232447 0.219141 0.233967 -10635554.343970 0.221649
3125000 250000.000000 401172 38374 362798 92569826.088429 2.317621 102361154.644211 0.095671 0.168643 0.087952 0.030114 0.314824 0.000000 3.820357 3.840677 3.818208 0.233182 0.223700 0.234185 -8856235.013512 0.221691
3187500 255000.000000 400794 36749 364045 82593617.279240 2.475747 90931138.053906 0.092366 0.154819 0.086062 0.030335 0.330842 0.000000 3.815041 3.816887 3.814855 0.232650 0.221374 0.233788 -7628864.035904 0.227002
3250000 260000.000000 400629 35196 365433 92289895.114620 2.463942 101178624.544460 0.088170 0.152057 0.082016 0.028962 0.329667 0.000000 3.791624 3.813353 3.789531 0.228882 0.217257 0.230002 -8137158.761737 0.216462
3312500 265000.000000 401462 37021 364441 118605694.535247 2.372075 130654013.274284 0.091289 0.142783 0.086058 0.029612 0.321115 0.000000 3.796138 3.836678 3.792020 0.229332 0.221878 0.230089 -10827417.754619 0.218742
3375000 270000.000000 400981 39479 361502 38792104.010351 2.256231 43028521.471805 0.098155 0.153195 0.092144 0.030451 0.309280 0.000000 3.816744 3.845952 3.813554 0.226308 0.223385 0.226627 -3807636.736422 0.222140
3437500 275000.000000 401664 40284 361380 62438838.361216 2.199640 69399063.265563 0.100206 0.149337 0.094729 0.030491 0.304021 0.000000 3.795724 3.858710 3.788702 0.229012 0.228126 0.229111 -6256735.100829 0.220608
3500000 280000.000000 401258 39399 361859 58843857.994731 2.260996 65250743.196020 0.098143 0.145729 0.092962 0.030455 0.310166 0.000000 3.804538 3.840920 3.800577 0.227933 0.224362 0.228321 -5775110.051015 0.222004
3562500 285000.000000 402486 37922 364564 82779129.561894 2.336926 91389826.346621 0.094537 0.148275 0.088947 0.029927 0.317634 0.000000 3.821510 3.854118 3.818119 0.228054 0.220857 0.228803 -7825703.833293 0.220184
3625000 290000.000000 401232 37254 363978 102354064.685466 2.326667 112830242.473998 0.093272 0.151852 0.087277 0.029378 0.316402 0.000000 3.789069 3.820975 3.785803 0.226454 0.219091 0.227208 -9546798.358247 0.216029
3687500 295000.000000 400436 39994 360442 63003136.144016 2.232895 69993851.259463 0.099388 0.155740 0.093135 0.030670 0.307078 0.000000 3.806552 3.843799 3.802419 0.228152 0.222518 0.228777 -6261761.561490 0.223013
3750000 300000.000000 401824 36957 364867 85830217.797555 2.385949 94523871.295864 0.092126 0.148516 0.086415 0.029694 0.322853 0.000000 3.798199 3.859600 3.791979 0.230710 0.227426 0.231043 -7907222.914679 0.219443
3812500 305000.000000 401525 37065 364460 84746960.836412 2.362180 93365591.182262 0.092965 0.132395 0.088955 0.029626 0.320934 0.000000 3.801872 3.844836 3.797502 0.230436 0.226990 0.230786 -7878512.235712 0.218054
3875000 310000.000000 401557 35822 365735 90527289.976906 2.525271 99394006.290878 0.088708 0.126915 0.084966 0.030097 0.337376 0.000000 3.835742 3.861511 3.833218 0.231896 0.225943 0.232479 -8030485.437695 0.225274
3937500 315000.000000 400842 36054 364788 51159617.221661 2.520596 56216002.707016 0.090298 0.128638 0.086509 0.030301 0.336882 0.000000 3.831128 3.858326 3.828440 0.233092 0.226817 0.233712 -4619632.800177 0.226717
4000000 320000.000000 401524 35120 366404 75646834.489764 2.543679 82897619.792178 0.087521 0.123077 0.084113 0.029685 0.339392 0.000000 3.811228 3.841478 3.808329 0.232399 0.226137 0.232999 -6620719.412494 0.222487
4062500 325000.000000 401307 34388 366919 65555640.495203 2.574234 71699577.649793 0.085612 0.122492 0.082156 0.029347 0.342474 0.000000 3.785569 3.843624 3.780128 0.229509 0.226104 0.229828 -5612373.114359 0.220586
