Simulation from altruism.c performed at Mon Oct 17 14:34:40 2022

Output files are created with the same id as this file.
Predefined parameters:
Tmax = 5000001
DeltaTime = 0.080000
DeltaSpace = 0.100000
Initial population size = 335544
Number of positions = 1048576
Initial altruism level = 0.000000
Initial p = 1.000000
Death rate = 1.000000
Birth rate = 5.000000
Mutation probability production = 0.001000
Mean mutation size production = 0.005000
Mutation probability p = 0.005000
Mean mutation size p = 0.005000
Scale of altruism = 1
Scale of competition = 4
Scale of movement = 0.080000
B0 = 1.000000
BMAX = 5.000000
alpha = 1.000000
(1 - alpha)*kappa = 0.000000
kappa = 0.100000
K = 40
Number of fields (kernel) = 7
Timestep Time Population_size As Bs Mean_altruism_all Mean_altruism_A Mean_altruism_B Mean_p_all Mean_p_A Mean_p_B Mean_cost_all Mean_cost_A Mean_cost_B Mean_benefit_all Mean_benefit_A Mean_benefit_B Mean_production_all Mean_production_A Mean_production_B Covariance_p_altruism Mean_expressed_altruism
1625000 130000.000000 390248 360813 29435 0.047784 0.047198 0.054969 0.924572 0.927508 0.888587 0.043638 0.047198 0.000000 2.371067 2.361430 2.489193 0.043638 0.043249 0.048411 -0.000541 0.043638
1687500 135000.000000 391675 348099 43576 0.052546 0.051779 0.058679 0.889755 0.894755 0.849812 0.046018 0.051779 0.000000 2.489754 2.481336 2.556999 0.046094 0.045680 0.049400 -0.000659 0.046018
1750000 140000.000000 392454 339543 52911 0.058101 0.057310 0.063183 0.865061 0.872310 0.818543 0.049583 0.057310 0.000000 2.530236 2.527194 2.549761 0.049574 0.049351 0.051002 -0.000687 0.049583
1812500 145000.000000 394669 322272 72397 0.081306 0.077593 0.097834 0.816341 0.831735 0.747817 0.063360 0.077593 0.000000 2.811060 2.790348 2.903258 0.063326 0.061750 0.070343 -0.003047 0.063360
1875000 150000.000000 394285 300302 93983 0.083753 0.079745 0.096558 0.760724 0.779189 0.701724 0.060737 0.079745 0.000000 2.765669 2.741179 2.843921 0.060673 0.059095 0.065715 -0.003040 0.060737
1937500 155000.000000 394822 280807 114015 0.091748 0.089417 0.097487 0.710573 0.725386 0.674091 0.063596 0.089417 0.000000 2.802381 2.792645 2.826358 0.063566 0.063035 0.064874 -0.001628 0.063596
2000000 160000.000000 392427 278766 113661 0.074389 0.074055 0.075207 0.710518 0.725479 0.673823 0.052606 0.074055 0.000000 2.613705 2.631958 2.568936 0.052631 0.053458 0.050601 -0.000224 0.052606
2062500 165000.000000 392559 282850 109709 0.075949 0.074386 0.079980 0.720862 0.732891 0.689847 0.053597 0.074386 0.000000 2.618386 2.617729 2.620079 0.053620 0.053319 0.054394 -0.001129 0.053597
2125000 170000.000000 392341 275000 117341 0.074912 0.073063 0.079244 0.700810 0.711619 0.675481 0.051211 0.073063 0.000000 2.594055 2.580195 2.626537 0.051210 0.050643 0.052540 -0.001289 0.051211
2187500 175000.000000 391948 266389 125559 0.067092 0.065960 0.069495 0.680430 0.694116 0.651394 0.044830 0.065960 0.000000 2.470574 2.473406 2.464567 0.044882 0.044968 0.044700 -0.000770 0.044830
2250000 180000.000000 392060 259285 132775 0.070685 0.068876 0.074217 0.661038 0.677167 0.629542 0.045551 0.068876 0.000000 2.490037 2.490071 2.489971 0.045532 0.045314 0.045958 -0.001193 0.045551
2312500 185000.000000 390766 245856 144910 0.068782 0.067431 0.071073 0.630517 0.640634 0.613352 0.042425 0.067431 0.000000 2.400285 2.392147 2.414094 0.042524 0.042171 0.043125 -0.000844 0.042425
