Simulation from altruism.c performed at Wed Oct 12 16:53:45 2022

Output files are created with the same id as this file.
Predefined parameters:
Tmax = 5000001
DeltaTime = 0.080000
DeltaSpace = 0.100000
Initial population size = 335544
Number of positions = 1048576
Initial altruism level = 0.000000
Initial p = 1.000000
Death rate = 1.000000
Birth rate = 5.000000
Mutation probability production = 0.001000
Mean mutation size production = 0.005000
Mutation probability p = 0.001000
Mean mutation size p = 0.005000
Scale of altruism = 1
Scale of competition = 4
Scale of movement = 0.080000
B0 = 1.000000
BMAX = 5.000000
alpha = 1.000000
(1 - alpha)*kappa = 0.000000
kappa = 0.100000
K = 40
Number of fields (kernel) = 7
Timestep Time Population_size As Bs Mean_altruism_all Mean_altruism_A Mean_altruism_B Mean_p_all Mean_p_A Mean_p_B Mean_cost_all Mean_cost_A Mean_cost_B Mean_benefit_all Mean_benefit_A Mean_benefit_B Mean_production_all Mean_production_A Mean_production_B Covariance_p_altruism Mean_expressed_altruism
0 0.000000 335544 335544 0 0.000000 0.000000 -nan 1.000000 1.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000
62500 5000.000000 389663 387312 2351 0.036568 0.036577 0.035013 0.994088 0.994161 0.982160 0.036357 0.036577 0.000000 2.259787 2.260285 2.177853 0.036361 0.036372 0.034422 0.000009 0.036357
125000 10000.000000 389791 383571 6220 0.037277 0.037222 0.040637 0.984115 0.984433 0.964522 0.036628 0.037222 0.000000 2.277928 2.276421 2.370852 0.036627 0.036586 0.039154 -0.000057 0.036628
187500 15000.000000 388619 378776 9843 0.035083 0.035102 0.034362 0.974903 0.975344 0.957944 0.034213 0.035102 0.000000 2.188268 2.190035 2.120277 0.034216 0.034249 0.032958 0.000014 0.034213
250000 20000.000000 390462 379499 10963 0.038387 0.038335 0.040183 0.971320 0.971790 0.955062 0.037259 0.038335 0.000000 2.297877 2.297298 2.317908 0.037237 0.037204 0.038399 -0.000049 0.037259
312500 25000.000000 389975 377727 12248 0.039131 0.039103 0.040006 0.968358 0.968743 0.956491 0.037874 0.039103 0.000000 2.316228 2.315726 2.331701 0.037871 0.037856 0.038328 -0.000022 0.037874
375000 30000.000000 391985 379892 12093 0.047737 0.047864 0.043768 0.969265 0.969787 0.952879 0.046387 0.047864 0.000000 2.494166 2.497479 2.390104 0.046394 0.046538 0.041870 0.000123 0.046387
437500 35000.000000 391017 381869 9148 0.044905 0.044959 0.042650 0.976959 0.977403 0.958426 0.043907 0.044959 0.000000 2.432553 2.434530 2.350013 0.043920 0.043991 0.040963 0.000050 0.043907
500000 40000.000000 392587 384196 8391 0.052007 0.052032 0.050847 0.978727 0.979064 0.963325 0.050920 0.052032 0.000000 2.572557 2.572967 2.553773 0.050926 0.050967 0.049075 0.000026 0.050920
562500 45000.000000 391872 383690 8182 0.046436 0.046437 0.046420 0.979527 0.979812 0.966159 0.045467 0.046437 0.000000 2.484396 2.484966 2.457639 0.045477 0.045491 0.044829 -0.000008 0.045467
625000 50000.000000 393756 384024 9732 0.059187 0.059195 0.058863 0.975431 0.975759 0.962500 0.057732 0.059195 0.000000 2.711130 2.711349 2.702473 0.057740 0.057766 0.056718 0.000007 0.057732
687500 55000.000000 393997 384756 9241 0.058657 0.058614 0.060480 0.976336 0.976629 0.964140 0.057239 0.058614 0.000000 2.669089 2.669015 2.672189 0.057221 0.057194 0.058359 -0.000048 0.057239
750000 60000.000000 395227 385101 10126 0.071820 0.071808 0.072257 0.974696 0.975066 0.960616 0.069968 0.071808 0.000000 2.878008 2.878022 2.877502 0.069990 0.070005 0.069435 -0.000012 0.069968
812500 65000.000000 394003 382145 11858 0.061391 0.061269 0.065324 0.969952 0.970566 0.950183 0.059425 0.061269 0.000000 2.726455 2.724654 2.784471 0.059434 0.059356 0.061950 -0.000113 0.059425
875000 70000.000000 392728 379395 13333 0.050291 0.050241 0.051704 0.965791 0.966769 0.937968 0.048535 0.050241 0.000000 2.552220 2.552156 2.554062 0.048527 0.048531 0.048404 -0.000044 0.048535
937500 75000.000000 391753 374996 16757 0.047848 0.047741 0.050241 0.957365 0.958487 0.932264 0.045699 0.047741 0.000000 2.512718 2.511700 2.535511 0.045698 0.045648 0.046806 -0.000110 0.045699
1000000 80000.000000 392095 372284 19811 0.046779 0.046609 0.049987 0.949699 0.951073 0.923871 0.044254 0.046609 0.000000 2.477281 2.474825 2.523449 0.044275 0.044175 0.046158 -0.000151 0.044254
1062500 85000.000000 392502 368944 23558 0.051311 0.051295 0.051548 0.939979 0.940904 0.925494 0.048217 0.051295 0.000000 2.529441 2.529537 2.527938 0.048219 0.048247 0.047782 -0.000012 0.048217
1125000 90000.000000 390991 367581 23410 0.044876 0.044926 0.044094 0.939864 0.940972 0.922473 0.042236 0.044926 0.000000 2.375978 2.379144 2.326252 0.042227 0.042322 0.040726 0.000049 0.042236
1187500 95000.000000 391706 368634 23072 0.047116 0.047072 0.047825 0.940292 0.941371 0.923064 0.044299 0.047072 0.000000 2.476876 2.477905 2.460423 0.044248 0.044250 0.044209 -0.000055 0.044299
