Timestep Time cumulativeSelectionP cumulativeTransmissionP cumulativeSelectionAltruism cumulativeTransmissionAltruism cumulativeSelectionProduct cumulativeTransmissionProduct
0 0.000000 0.000000 -0.000001 0.000000 0.000000 0.000000 0.000000
62500 5000.000000 0.008686 -0.026269 0.028582 0.003831 0.028532 0.003307
125000 10000.000000 -0.003252 -0.038344 0.040322 0.004798 0.039218 0.003813
187500 15000.000000 -0.017041 -0.045556 0.052048 0.005333 0.049519 0.003954
250000 20000.000000 -0.022760 -0.051791 0.061765 0.005907 0.058587 0.004048
312500 25000.000000 -0.023475 -0.056117 0.079328 0.006389 0.074876 0.004091
375000 30000.000000 -0.018916 -0.061111 0.105373 0.007070 0.099121 0.004140
437500 35000.000000 -0.024206 -0.065675 0.120793 0.007836 0.112010 0.004176
500000 40000.000000 -0.035842 -0.068351 0.126065 0.008396 0.114876 0.004215
562500 45000.000000 -0.042083 -0.070748 0.134273 0.008927 0.121462 0.004241
625000 50000.000000 -0.044267 -0.073679 0.132982 0.009523 0.119634 0.004250
687500 55000.000000 -0.056325 -0.075884 0.132153 0.010066 0.117086 0.004279
750000 60000.000000 -0.062280 -0.077595 0.133178 0.010609 0.117169 0.004353
812500 65000.000000 -0.068165 -0.079516 0.143126 0.011132 0.124612 0.004381
875000 70000.000000 -0.075181 -0.080856 0.140666 0.011615 0.121043 0.004402
937500 75000.000000 -0.094948 -0.082020 0.162466 0.012113 0.134385 0.004430
1000000 80000.000000 -0.114163 -0.082889 0.169941 0.012639 0.135687 0.004442
1062500 85000.000000 -0.139268 -0.083429 0.189959 0.013196 0.145607 0.004461
1125000 90000.000000 -0.143789 -0.083995 0.187888 0.013773 0.143069 0.004449
1187500 95000.000000 -0.165371 -0.084856 0.217657 0.014463 0.158654 0.004454
1250000 100000.000000 -0.212259 -0.085319 0.274975 0.015362 0.186911 0.004452
1312500 105000.000000 -0.239040 -0.085684 0.299751 0.016474 0.194532 0.004457
1375000 110000.000000 -0.255051 -0.086012 0.314923 0.017728 0.199924 0.004445
1437500 115000.000000 -0.268215 -0.086431 0.322690 0.019314 0.200322 0.004482
1500000 120000.000000 -0.292137 -0.086809 0.349026 0.020931 0.209955 0.004449
1562500 125000.000000 -0.313478 -0.086911 0.370329 0.022563 0.216086 0.004430
