Simulation from altruism.c performed at Mon Oct 17 14:31:57 2022

Output files are created with the same id as this file.
Predefined parameters:
Tmax = 5000001
DeltaTime = 0.080000
DeltaSpace = 0.100000
Initial population size = 335544
Number of positions = 1048576
Initial altruism level = 0.000000
Initial p = 1.000000
Death rate = 1.000000
Birth rate = 5.000000
Mutation probability production = 0.001000
Mean mutation size production = 0.005000
Mutation probability p = 0.005000
Mean mutation size p = 0.005000
Scale of altruism = 1
Scale of competition = 4
Scale of movement = 0.080000
B0 = 1.000000
BMAX = 5.000000
alpha = 0.500000
(1 - alpha)*kappa = 0.050000
kappa = 0.100000
K = 40
Number of fields (kernel) = 7
Timestep Time Population_size As Bs Mean_altruism_all Mean_altruism_A Mean_altruism_B Mean_p_all Mean_p_A Mean_p_B Mean_cost_all Mean_cost_A Mean_cost_B Mean_benefit_all Mean_benefit_A Mean_benefit_B Mean_production_all Mean_production_A Mean_production_B Covariance_p_altruism Mean_expressed_altruism
0 0.000000 335544 335544 0 0.000000 0.000000 -nan 1.000000 1.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000
62500 5000.000000 389889 381818 8071 0.039887 0.039953 0.036794 0.979344 0.979749 0.960171 0.032857 0.033551 0.000000 2.294908 2.296441 2.222371 0.039130 0.039210 0.035373 0.000067 0.039126
125000 10000.000000 393409 383062 10347 0.052605 0.052565 0.054096 0.973662 0.974329 0.948956 0.041709 0.042836 0.000000 2.605530 2.605611 2.602514 0.051184 0.051181 0.051293 -0.000035 0.051182
187500 15000.000000 393711 377532 16179 0.054600 0.054484 0.057323 0.958775 0.960005 0.930068 0.042404 0.044221 0.000000 2.636540 2.635991 2.649335 0.052239 0.052196 0.053224 -0.000111 0.052245
250000 20000.000000 393153 373144 20009 0.063994 0.063938 0.065045 0.949290 0.951059 0.916294 0.047866 0.050432 0.000000 2.711623 2.712000 2.704600 0.060706 0.060754 0.059812 -0.000043 0.060684
312500 25000.000000 396527 374856 21671 0.082176 0.082305 0.079931 0.945521 0.947228 0.915994 0.059494 0.062934 0.000000 3.017895 3.021316 2.958723 0.077812 0.078062 0.073490 0.000114 0.077807
375000 30000.000000 396728 371709 25019 0.082255 0.082533 0.078112 0.936752 0.939003 0.903305 0.059019 0.062992 0.000000 2.976865 2.982522 2.892825 0.077312 0.077745 0.070877 0.000260 0.077329
437500 35000.000000 396471 372695 23776 0.086663 0.086915 0.082705 0.940338 0.942511 0.906282 0.061628 0.065560 0.000000 2.991561 2.996822 2.909098 0.081711 0.082125 0.075210 0.000218 0.081703
500000 40000.000000 397652 373223 24429 0.100528 0.100766 0.096891 0.938651 0.941231 0.899244 0.069752 0.074318 0.000000 3.139698 3.144959 3.059318 0.094564 0.095036 0.087354 0.000203 0.094576
562500 45000.000000 396721 371003 25718 0.096766 0.096615 0.098930 0.935150 0.938065 0.893106 0.066907 0.071545 0.000000 3.101829 3.104089 3.069217 0.090339 0.090454 0.088679 -0.000151 0.090352
