Timestep Time cumulativeSelectionP cumulativeTransmissionP cumulativeSelectionAltruism cumulativeTransmissionAltruism cumulativeSelectionProduct cumulativeTransmissionProduct
0 0.000000 0.000000 -0.000001 0.000000 0.000000 0.000000 0.000000
62500 5000.000000 0.006231 -0.025767 0.048234 0.003764 0.047846 0.003114
125000 10000.000000 0.001152 -0.037717 0.054103 0.004616 0.053275 0.003244
187500 15000.000000 -0.006951 -0.045723 0.057324 0.005311 0.055714 0.003393
250000 20000.000000 -0.019310 -0.051775 0.063125 0.005983 0.060219 0.003587
312500 25000.000000 -0.026476 -0.056636 0.073352 0.006498 0.068733 0.003705
375000 30000.000000 -0.047360 -0.060129 0.082827 0.006913 0.075126 0.003760
437500 35000.000000 -0.065745 -0.062368 0.100245 0.007337 0.088469 0.003837
500000 40000.000000 -0.085553 -0.064073 0.111706 0.007653 0.095852 0.003832
562500 45000.000000 -0.101786 -0.065250 0.119701 0.008014 0.100478 0.003884
625000 50000.000000 -0.111766 -0.066146 0.120481 0.008326 0.100562 0.003886
687500 55000.000000 -0.127293 -0.066738 0.134426 0.008666 0.109229 0.003910
750000 60000.000000 -0.141441 -0.067185 0.148283 0.009105 0.118104 0.003986
812500 65000.000000 -0.155769 -0.067450 0.157678 0.009488 0.123340 0.004020
875000 70000.000000 -0.161880 -0.067649 0.173701 0.009916 0.135409 0.004052
937500 75000.000000 -0.169039 -0.067778 0.219949 0.010431 0.170997 0.004059
1000000 80000.000000 -0.174006 -0.067800 0.242794 0.011043 0.187886 0.004082
1062500 85000.000000 -0.185104 -0.067836 0.236474 0.011673 0.180146 0.004113
1125000 90000.000000 -0.189382 -0.067989 0.249373 0.012268 0.189034 0.004071
1187500 95000.000000 -0.194952 -0.068177 0.257505 0.013023 0.194142 0.004091
1250000 100000.000000 -0.198768 -0.068196 0.276802 0.013897 0.206620 0.004187
1312500 105000.000000 -0.216572 -0.068342 0.294557 0.014796 0.213712 0.004202
1375000 110000.000000 -0.221555 -0.068400 0.292967 0.015635 0.210907 0.004158
1437500 115000.000000 -0.231007 -0.068618 0.292679 0.016604 0.206931 0.004148
1500000 120000.000000 -0.241700 -0.068724 0.289827 0.017596 0.200780 0.004136
1562500 125000.000000 -0.251880 -0.068973 0.290969 0.018838 0.196649 0.004177
1625000 130000.000000 -0.268153 -0.069075 0.294354 0.020046 0.192305 0.004187
1687500 135000.000000 -0.283069 -0.069199 0.297278 0.021384 0.187127 0.004189
1750000 140000.000000 -0.294839 -0.069358 0.304099 0.023068 0.184021 0.004244
1812500 145000.000000 -0.317728 -0.069671 0.321498 0.025319 0.183224 0.004233
1875000 150000.000000 -0.334161 -0.070054 0.330127 0.028223 0.180407 0.004301
1937500 155000.000000 -0.354711 -0.070141 -9110.914166 9111.298878 0.181121 0.004351
2000000 160000.000000 -0.376594 -0.070278 -264309.868627 318077.921681 0.182517 0.004436
2062500 165000.000000 -0.389619 -0.070458 -327034.120488 327034.549828 0.180004 0.004417
2125000 170000.000000 -0.406947 -0.070490 -327034.103297 327034.560429 0.177424 0.004406
2187500 175000.000000 -0.429783 -0.070783 -400166.294050 581401.952219 0.178095 0.004437
2250000 180000.000000 -0.459080 -0.070803 6246005.254263 -5957472.744193 0.185034 0.004464
2312500 185000.000000 -0.475474 -0.070849 6555330.904505 -6476352.726245 0.179775 0.004522
