Simulation from altruism.c performed at Wed Oct 12 16:55:12 2022

Output files are created with the same id as this file.
Predefined parameters:
Tmax = 5000001
DeltaTime = 0.080000
DeltaSpace = 0.100000
Initial population size = 335544
Number of positions = 1048576
Initial altruism level = 0.000000
Initial p = 1.000000
Death rate = 1.000000
Birth rate = 5.000000
Mutation probability production = 0.001000
Mean mutation size production = 0.005000
Mutation probability p = 0.001000
Mean mutation size p = 0.005000
Scale of altruism = 1
Scale of competition = 4
Scale of movement = 0.080000
B0 = 1.000000
BMAX = 5.000000
alpha = 0.100000
(1 - alpha)*kappa = 0.090000
kappa = 0.100000
K = 40
Number of fields (kernel) = 7
Timestep Time Population_size As Bs Mean_altruism_all Mean_altruism_A Mean_altruism_B Mean_p_all Mean_p_A Mean_p_B Mean_cost_all Mean_cost_A Mean_cost_B Mean_benefit_all Mean_benefit_A Mean_benefit_B Mean_production_all Mean_production_A Mean_production_B Covariance_p_altruism Mean_expressed_altruism
0 0.000000 335544 335544 0 0.000000 0.000000 -nan 1.000000 1.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000
62500 5000.000000 389542 385929 3613 0.035799 0.035804 0.035298 0.990594 0.990723 0.976799 0.026139 0.026383 0.000000 2.262279 2.262555 2.232770 0.035468 0.035476 0.034536 0.000005 0.035471
125000 10000.000000 392394 386677 5717 0.047291 0.047313 0.045806 0.985325 0.985512 0.972687 0.031813 0.032283 0.000000 2.512636 2.513070 2.483293 0.046625 0.046655 0.044622 0.000028 0.046624
187500 15000.000000 395933 389876 6057 0.077505 0.077564 0.073664 0.984808 0.984987 0.973260 0.044079 0.044764 0.000000 2.929225 2.930082 2.874082 0.076388 0.076459 0.071863 0.000061 0.076378
250000 20000.000000 397441 390145 7296 0.095703 0.095742 0.093588 0.981675 0.981917 0.968770 0.051171 0.052128 0.000000 3.165120 3.165672 3.135571 0.093980 0.094040 0.090768 0.000031 0.093985
312500 25000.000000 397079 389069 8010 0.094115 0.094095 0.095106 0.979629 0.979984 0.962402 0.050439 0.051478 0.000000 3.149091 3.149375 3.135280 0.092158 0.092171 0.091566 -0.000039 0.092197
375000 30000.000000 397364 387799 9565 0.090174 0.090146 0.091309 0.976183 0.976613 0.958726 0.048785 0.049988 0.000000 3.116988 3.116855 3.122392 0.088000 0.088011 0.087574 -0.000026 0.087976
437500 35000.000000 396883 385867 11016 0.091118 0.091041 0.093822 0.972015 0.972514 0.954557 0.048739 0.050131 0.000000 3.106542 3.106304 3.114895 0.088482 0.088459 0.089287 -0.000086 0.088514
500000 40000.000000 397828 383459 14369 0.104118 0.103642 0.116827 0.963970 0.965046 0.935273 0.052218 0.054175 0.000000 3.205692 3.203623 3.260898 0.099904 0.099600 0.108032 -0.000463 0.099899
562500 45000.000000 398134 380870 17264 0.117255 0.116532 0.133210 0.956056 0.957514 0.923903 0.055749 0.058276 0.000000 3.303228 3.300827 3.356184 0.111397 0.110933 0.121636 -0.000706 0.111479
625000 50000.000000 400053 373646 26407 0.152536 0.149144 0.200529 0.933838 0.936949 0.889815 0.061552 0.065902 0.000000 3.455460 3.443416 3.625867 0.139259 0.136712 0.175307 -0.003185 0.139300
687500 55000.000000 400280 362398 37882 0.192800 0.187943 0.239266 0.905579 0.909934 0.863916 0.067633 0.074703 0.000000 3.592249 3.575468 3.752786 0.170219 0.166677 0.204108 -0.004376 0.170156
750000 60000.000000 400643 355358 45285 0.218180 0.213830 0.252315 0.886483 0.890588 0.854268 0.071402 0.080501 0.000000 3.695309 3.682800 3.793468 0.189527 0.186495 0.213312 -0.003887 0.189661
812500 65000.000000 400651 352132 48519 0.223768 0.219929 0.251626 0.878222 0.882124 0.849900 0.072046 0.081972 0.000000 3.712260 3.701897 3.787474 0.193130 0.190561 0.211774 -0.003388 0.193296
875000 70000.000000 400752 348213 52539 0.229684 0.226084 0.253549 0.869246 0.873021 0.844223 0.072261 0.083164 0.000000 3.729265 3.720551 3.787022 0.196521 0.194185 0.212005 -0.003131 0.196444
937500 75000.000000 401133 346280 54853 0.231903 0.228121 0.255776 0.862914 0.866867 0.837959 0.071838 0.083218 0.000000 3.720917 3.710986 3.783614 0.196829 0.194423 0.212021 -0.003283 0.196927
1000000 80000.000000 400733 343013 57720 0.242386 0.238681 0.264399 0.856372 0.860635 0.831041 0.073330 0.085670 0.000000 3.769481 3.761323 3.817957 0.204423 0.202227 0.217467 -0.003150 0.204303
1062500 85000.000000 400763 340122 60641 0.244256 0.240674 0.264347 0.849086 0.853394 0.824928 0.072911 0.085911 0.000000 3.760460 3.752933 3.802676 0.204349 0.202258 0.216077 -0.003046 0.204256
1125000 90000.000000 401412 337219 64193 0.242922 0.239402 0.261411 0.839510 0.844107 0.815357 0.072095 0.085819 0.000000 3.770533 3.762714 3.811608 0.201015 0.199071 0.211227 -0.002920 0.201117
1187500 95000.000000 400562 334337 66225 0.238781 0.235413 0.255787 0.834744 0.839791 0.809264 0.071059 0.085135 0.000000 3.751701 3.744835 3.786359 0.196479 0.194772 0.205094 -0.002843 0.196492
1250000 100000.000000 400900 333130 67770 0.234688 0.231316 0.251263 0.830395 0.835521 0.805200 0.069962 0.084195 0.000000 3.732366 3.724088 3.773055 0.192015 0.190350 0.200199 -0.002869 0.192213
1312500 105000.000000 400782 331626 69156 0.232286 0.228629 0.249821 0.828099 0.833314 0.803090 0.069104 0.083515 0.000000 3.708140 3.698808 3.752892 0.189328 0.187448 0.198343 -0.003027 0.189178
1375000 110000.000000 400589 330912 69677 0.227382 0.223926 0.243795 0.825578 0.830767 0.800933 0.068154 0.082504 0.000000 3.681771 3.673631 3.720431 0.184792 0.183074 0.192948 -0.002930 0.184977
1437500 115000.000000 400740 330495 70245 0.221153 0.217720 0.237305 0.823685 0.829196 0.797756 0.067040 0.081289 0.000000 3.657412 3.649549 3.694405 0.179290 0.177634 0.187083 -0.002870 0.179556
1500000 120000.000000 400701 328437 72264 0.216964 0.213550 0.232481 0.820777 0.826777 0.793508 0.065928 0.080434 0.000000 3.646637 3.640112 3.676293 0.175310 0.173752 0.182395 -0.002768 0.175037
