Simulation from altruism.c performed at Wed Oct 12 16:43:54 2022

Output files are created with the same id as this file.
Predefined parameters:
Tmax = 5000001
DeltaTime = 0.080000
DeltaSpace = 0.100000
Initial population size = 335544
Number of positions = 1048576
Initial altruism level = 0.000000
Initial p = 1.000000
Death rate = 1.000000
Birth rate = 5.000000
Mutation probability production = 0.001000
Mean mutation size production = 0.005000
Mutation probability p = 0.001000
Mean mutation size p = 0.005000
Scale of altruism = 1
Scale of competition = 4
Scale of movement = 0.080000
B0 = 1.000000
BMAX = 5.000000
alpha = 1.000000
(1 - alpha)*kappa = 0.000000
kappa = 0.100000
K = 40
Number of fields (kernel) = 7
Timestep Time Population_size As Bs Mean_altruism_all Mean_altruism_A Mean_altruism_B Mean_p_all Mean_p_A Mean_p_B Mean_cost_all Mean_cost_A Mean_cost_B Mean_benefit_all Mean_benefit_A Mean_benefit_B Mean_production_all Mean_production_A Mean_production_B Covariance_p_altruism Mean_expressed_altruism
0 0.000000 335544 335544 0 0.000000 0.000000 -nan 1.000000 1.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000
62500 5000.000000 382824 379647 3177 0.023599 0.023610 0.022279 0.991894 0.991971 0.982759 0.023415 0.023610 0.000000 1.791864 1.792222 1.749048 0.023418 0.023430 0.021930 0.000010 0.023415
125000 10000.000000 387394 383683 3711 0.033363 0.033354 0.034305 0.990597 0.990703 0.979601 0.033034 0.033354 0.000000 2.125721 2.125621 2.136046 0.033040 0.033035 0.033582 -0.000009 0.033034
187500 15000.000000 392724 386530 6194 0.048919 0.048918 0.048998 0.984567 0.984779 0.971315 0.048146 0.048918 0.000000 2.547401 2.547851 2.519325 0.048157 0.048165 0.047649 -0.000007 0.048146
250000 20000.000000 392517 384181 8336 0.048123 0.048058 0.051128 0.979146 0.979456 0.964847 0.047037 0.048058 0.000000 2.527966 2.526904 2.576924 0.047047 0.046999 0.049271 -0.000072 0.047037
312500 25000.000000 390956 380948 10008 0.043773 0.043738 0.045074 0.974487 0.974987 0.955448 0.042619 0.043738 0.000000 2.434817 2.435168 2.421452 0.042621 0.042610 0.043036 -0.000035 0.042619
375000 30000.000000 391319 378766 12553 0.046310 0.046226 0.048839 0.967932 0.968716 0.944280 0.044743 0.046226 0.000000 2.458770 2.457709 2.490775 0.044737 0.044692 0.046088 -0.000088 0.044743
437500 35000.000000 390539 376389 14150 0.046176 0.046098 0.048244 0.964137 0.964692 0.949369 0.044428 0.046098 0.000000 2.441685 2.440668 2.468720 0.044446 0.044395 0.045816 -0.000074 0.044428
500000 40000.000000 392287 376545 15742 0.050820 0.050747 0.052574 0.959762 0.960434 0.943674 0.048711 0.050747 0.000000 2.539414 2.538095 2.570972 0.048706 0.048669 0.049586 -0.000069 0.048711
562500 45000.000000 392919 375772 17147 0.055433 0.055403 0.056091 0.955836 0.956475 0.941837 0.052985 0.055403 0.000000 2.641886 2.641421 2.652082 0.052962 0.052966 0.052883 -0.000022 0.052985
625000 50000.000000 391733 373243 18490 0.049055 0.049034 0.049482 0.952240 0.953020 0.936510 0.046720 0.049034 0.000000 2.494924 2.495597 2.481345 0.046691 0.046707 0.046374 -0.000021 0.046720
687500 55000.000000 391623 374652 16971 0.046236 0.046203 0.046971 0.956534 0.957320 0.939180 0.044201 0.046203 0.000000 2.466828 2.467957 2.441923 0.044208 0.044212 0.044129 -0.000018 0.044201
750000 60000.000000 391175 372766 18409 0.043818 0.043855 0.043073 0.952907 0.953501 0.940867 0.041791 0.043855 0.000000 2.378720 2.380320 2.346318 0.041782 0.041842 0.040576 0.000028 0.041791
