Timestep Time cumulativeSelectionP cumulativeTransmissionP cumulativeSelectionAltruism cumulativeTransmissionAltruism cumulativeSelectionProduct cumulativeTransmissionProduct
4250000 340000.000000 -0.953329 0.036178 10126919384.840265 -10044679613.181189 0.224234 0.003918
4312500 345000.000000 -0.949753 0.040753 10452662643.659761 -10354080751.998783 0.220722 0.003969
4375000 350000.000000 -0.957800 0.044774 10716893123.735077 -10643997557.550703 0.221409 0.004012
4437500 355000.000000 -0.958827 0.047965 10968029334.409822 -10876309054.637766 0.221760 0.004025
4500000 360000.000000 -0.962963 0.052251 11239456597.952089 -11154224869.497450 0.229071 0.004025
4562500 365000.000000 -0.971651 0.056107 11416154161.432543 -11314651956.925222 0.227026 0.003989
4625000 370000.000000 -0.974838 0.060506 11772956142.826815 -11672823815.062075 0.226392 0.004015
4687500 375000.000000 -0.978199 0.063868 11908912023.073372 -11848281197.028997 0.226477 0.003996
4750000 380000.000000 -0.987521 0.067451 12178289333.006443 -12068061264.029152 0.228329 0.004001
4812500 385000.000000 -0.993595 0.071803 12345582369.655052 -12235165328.972538 0.229528 0.004003
4875000 390000.000000 -0.995729 0.076241 12610917621.690443 -12528206971.319101 0.230467 0.004039
4937500 395000.000000 -0.996422 0.080434 12815475893.929468 -12722784832.768314 0.233261 0.004009
5000000 400000.000000 -0.997896 0.084758 13207229362.692894 -13104143799.439501 0.234142 0.003954
