Timestep Time cumulativeSelectionP cumulativeTransmissionP cumulativeSelectionAltruism cumulativeTransmissionAltruism cumulativeSelectionProduct cumulativeTransmissionProduct
0 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000
62500 5000.000000 -0.005775 -0.006711 0.027921 0.003196 0.027633 0.003079
125000 10000.000000 -0.005798 -0.010383 0.028743 0.003998 0.028450 0.003752
187500 15000.000000 -0.010895 -0.014006 0.035330 0.004633 0.034611 0.004244
250000 20000.000000 -0.020367 -0.015734 0.044816 0.004951 0.043297 0.004477
312500 25000.000000 -0.031190 -0.016820 0.068438 0.005111 0.065147 0.004563
375000 30000.000000 -0.041162 -0.017614 0.068583 0.005229 0.064490 0.004612
437500 35000.000000 -0.046327 -0.018314 0.067606 0.005317 0.063199 0.004634
500000 40000.000000 -0.052693 -0.019092 0.069994 0.005419 0.064982 0.004665
562500 45000.000000 -0.054690 -0.019885 0.063478 0.005568 0.058992 0.004739
625000 50000.000000 -0.057399 -0.020307 0.061094 0.005750 0.056382 0.004872
687500 55000.000000 -0.069670 -0.020517 0.065207 0.005872 0.059171 0.004956
750000 60000.000000 -0.079902 -0.020638 0.064296 0.006056 0.057678 0.005102
812500 65000.000000 -0.086429 -0.020717 0.059309 0.006198 0.052979 0.005208
875000 70000.000000 -0.094395 -0.020773 0.065930 0.006307 0.058282 0.005282
937500 75000.000000 -0.098334 -0.020783 0.063420 0.006407 0.056051 0.005348
1000000 80000.000000 -0.096606 -0.020785 0.063733 0.006550 0.056611 0.005455
1062500 85000.000000 -0.095283 -0.020832 0.063853 0.006802 0.056615 0.005651
1125000 90000.000000 -0.088236 -0.020876 0.080230 0.006936 0.072029 0.005740
1187500 95000.000000 -0.083171 -0.020907 0.087258 0.007033 0.078982 0.005802
1250000 100000.000000 -0.076646 -0.020908 0.087219 0.007121 0.079485 0.005855
1312500 105000.000000 -0.075288 -0.020983 0.083816 0.007253 0.076402 0.005939
1375000 110000.000000 -0.072720 -0.021227 0.074196 0.007464 0.068012 0.006084
1437500 115000.000000 -0.069119 -0.021493 0.072258 0.007690 0.066302 0.006250
1500000 120000.000000 -0.070984 -0.021844 0.068462 0.007851 0.062696 0.006349
1562500 125000.000000 -0.072892 -0.022351 0.062500 0.008074 0.057115 0.006503
1625000 130000.000000 -0.077528 -0.022836 0.064849 0.008208 0.058724 0.006580
1687500 135000.000000 -0.081602 -0.023111 0.062523 0.008377 0.056314 0.006703
1750000 140000.000000 -0.089084 -0.023343 0.060678 0.008521 0.054287 0.006810
1812500 145000.000000 -0.087573 -0.023502 0.058200 0.008687 0.052303 0.006935
1875000 150000.000000 -0.085392 -0.023585 0.061762 0.008936 0.055837 0.007129
1937500 155000.000000 -0.077028 -0.023757 0.065626 0.009083 0.060154 0.007229
2000000 160000.000000 -0.068960 -0.023888 0.069305 0.009184 0.063953 0.007289
2062500 165000.000000 -0.065074 -0.024073 0.073533 0.009278 0.068124 0.007338
2125000 170000.000000 -0.067230 -0.024353 0.071712 0.009340 0.066026 0.007356
2187500 175000.000000 -0.076452 -0.024601 0.084161 0.009504 0.076370 0.007467
2250000 180000.000000 -0.079769 -0.024737 0.091111 0.009538 0.082349 0.007458
2312500 185000.000000 -0.085788 -0.024814 0.096107 0.009666 0.086120 0.007543
2375000 190000.000000 -0.085814 -0.024777 0.098631 0.009768 0.088675 0.007610
2437500 195000.000000 -0.082855 -0.024796 0.109613 0.009852 0.099213 0.007653
2500000 200000.000000 -0.078724 -0.024842 0.117784 0.009925 0.107086 0.007677
2562500 205000.000000 -0.077433 -0.024868 0.104017 0.009976 0.094804 0.007685
2625000 210000.000000 -0.076285 -0.024897 0.097634 0.010041 0.089349 0.007708
2687500 215000.000000 -0.072934 -0.024934 0.095783 0.010160 0.087895 0.007784
2750000 220000.000000 -0.072436 -0.024996 0.099872 0.010208 0.091373 0.007792
2812500 225000.000000 -0.075073 -0.025028 0.124652 0.010270 0.113031 0.007814
2875000 230000.000000 -0.074078 -0.025128 0.131518 0.010307 0.119606 0.007800
2937500 235000.000000 -0.073576 -0.025340 0.137349 0.010406 0.125000 0.007821
3000000 240000.000000 -0.075398 -0.025532 0.138141 0.010550 0.125619 0.007890
3062500 245000.000000 -0.072819 -0.025670 0.126630 0.010641 0.115627 0.007918
3125000 250000.000000 -0.073564 -0.025795 0.114704 0.010766 0.104798 0.007985
3187500 255000.000000 -0.074061 -0.025926 0.102036 0.010844 0.093354 0.008011
3250000 260000.000000 -0.074558 -0.026075 0.087354 0.010925 0.079977 0.008043
3312500 265000.000000 -0.079043 -0.026289 0.099204 0.011033 0.090006 0.008093
3375000 270000.000000 -0.087113 -0.026531 0.119431 0.011177 0.106889 0.008168
3437500 275000.000000 -0.090390 -0.026678 0.127074 0.011252 0.112896 0.008186
3500000 280000.000000 -0.092320 -0.026816 0.110808 0.011308 0.098533 0.008189
3562500 285000.000000 -0.094470 -0.027066 0.106239 0.011386 0.094489 0.008201
3625000 290000.000000 -0.095542 -0.027326 0.096590 0.011468 0.085924 0.008222
3687500 295000.000000 -0.099119 -0.027555 0.095512 0.011598 0.084780 0.008286
3750000 300000.000000 -0.101726 -0.027802 0.090951 0.011729 0.081024 0.008350
3812500 305000.000000 -0.097276 -0.028015 0.100749 0.011868 0.089948 0.008419
3875000 310000.000000 -0.095224 -0.028290 0.097868 0.011992 0.087561 0.008475
3937500 315000.000000 -0.096495 -0.028450 0.093050 0.012084 0.083405 0.008517
4000000 320000.000000 -0.099410 -0.028541 0.076632 0.012180 0.068986 0.008569
4062500 325000.000000 -0.097947 -0.028551 0.071559 0.012356 0.064452 0.008697
4125000 330000.000000 -0.100896 -0.028577 0.068859 0.012506 0.061532 0.008801
4187500 335000.000000 -0.100794 -0.028615 0.070983 0.012702 0.063613 0.008944
4250000 340000.000000 -0.090800 -0.028953 0.071609 0.012841 0.065436 0.009012
4312500 345000.000000 -0.077473 -0.029911 0.073629 0.013021 0.068430 0.009054
4375000 350000.000000 -0.060968 -0.031249 0.083551 0.013332 0.079191 0.009178
4437500 355000.000000 -0.052679 -0.032852 0.083138 0.013646 0.079671 0.009275
4500000 360000.000000 -0.053914 -0.034562 0.071887 0.013838 0.068788 0.009276
4562500 365000.000000 -0.028631 -0.036666 0.079459 0.014103 0.078790 0.009318
4625000 370000.000000 -0.018881 -0.039234 0.078073 0.014400 0.078327 0.009322
4687500 375000.000000 0.001050 -0.042148 0.093230 0.014832 0.094438 0.009403
4750000 380000.000000 0.009677 -0.045062 0.088648 0.015212 0.091050 0.009418
4812500 385000.000000 0.009350 -0.047557 0.078470 0.015519 0.081274 0.009432
4875000 390000.000000 0.015788 -0.049932 0.081966 0.015819 0.085072 0.009460
4937500 395000.000000 0.016258 -0.052200 0.077865 0.016107 0.081001 0.009503
5000000 400000.000000 0.017296 -0.054223 0.080684 0.016329 0.083766 0.009522
