Simulation from altruism.c performed at Mon Oct 17 14:32:33 2022

Output files are created with the same id as this file.
Predefined parameters:
Tmax = 5000001
DeltaTime = 0.080000
DeltaSpace = 0.100000
Initial population size = 335544
Number of positions = 1048576
Initial altruism level = 0.000000
Initial p = 1.000000
Death rate = 1.000000
Birth rate = 5.000000
Mutation probability production = 0.001000
Mean mutation size production = 0.005000
Mutation probability p = 0.005000
Mean mutation size p = 0.005000
Scale of altruism = 1
Scale of competition = 4
Scale of movement = 0.080000
B0 = 1.000000
BMAX = 5.000000
alpha = 0.100000
(1 - alpha)*kappa = 0.090000
kappa = 0.100000
K = 40
Number of fields (kernel) = 7
Timestep Time Population_size As Bs Mean_altruism_all Mean_altruism_A Mean_altruism_B Mean_p_all Mean_p_A Mean_p_B Mean_cost_all Mean_cost_A Mean_cost_B Mean_benefit_all Mean_benefit_A Mean_benefit_B Mean_production_all Mean_production_A Mean_production_B Covariance_p_altruism Mean_expressed_altruism
0 0.000000 335544 335544 0 0.000000 0.000000 -nan 1.000000 1.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000
62500 5000.000000 392920 385310 7610 0.052018 0.051997 0.053088 0.980467 0.980834 0.961894 0.034250 0.034926 0.000000 2.605593 2.605373 2.616733 0.050981 0.050979 0.051085 -0.000022 0.050990
125000 10000.000000 394464 379981 14483 0.058768 0.058712 0.060225 0.963385 0.964364 0.937698 0.036693 0.038092 0.000000 2.728951 2.729267 2.720656 0.056564 0.056574 0.056313 -0.000052 0.056557
187500 15000.000000 394617 373922 20695 0.062644 0.062386 0.067298 0.947312 0.949246 0.912376 0.037364 0.039432 0.000000 2.747150 2.745973 2.768412 0.059114 0.059004 0.061113 -0.000229 0.059114
250000 20000.000000 395486 367209 28277 0.069087 0.068676 0.074430 0.928847 0.931862 0.889685 0.038884 0.041878 0.000000 2.813254 2.810720 2.846163 0.063780 0.063620 0.065863 -0.000391 0.063765
312500 25000.000000 395878 362783 33095 0.079834 0.078993 0.089058 0.916854 0.920456 0.877367 0.041948 0.045775 0.000000 2.927413 2.922370 2.982693 0.072419 0.071946 0.077610 -0.000777 0.072389
375000 30000.000000 396283 353749 42534 0.089693 0.088349 0.100869 0.892574 0.896869 0.856857 0.043792 0.049058 0.000000 3.000762 2.991553 3.077351 0.078850 0.078051 0.085491 -0.001208 0.078866
437500 35000.000000 397296 346447 50849 0.107574 0.105863 0.119233 0.871984 0.877984 0.831102 0.047985 0.055028 0.000000 3.148130 3.140512 3.200034 0.092308 0.091443 0.098203 -0.001495 0.092314
500000 40000.000000 397996 338428 59568 0.119435 0.117300 0.131564 0.850356 0.857400 0.810335 0.049622 0.058356 0.000000 3.229983 3.219958 3.286936 0.099746 0.098731 0.105511 -0.001817 0.099744
562500 45000.000000 398729 332550 66179 0.127730 0.125302 0.139933 0.832990 0.840511 0.795199 0.050609 0.060681 0.000000 3.282619 3.271872 3.336626 0.104376 0.103234 0.110117 -0.002022 0.104505
625000 50000.000000 398042 327227 70815 0.128850 0.127166 0.136635 0.822038 0.830619 0.782383 0.050166 0.061022 0.000000 3.247827 3.243344 3.268543 0.104476 0.104124 0.106099 -0.001444 0.104542
687500 55000.000000 398048 320622 77426 0.143109 0.140339 0.154579 0.806007 0.814935 0.769035 0.051591 0.064050 0.000000 3.311168 3.304617 3.338295 0.113161 0.112086 0.117611 -0.002186 0.113041
750000 60000.000000 398804 316090 82714 0.157441 0.154345 0.169273 0.791330 0.800662 0.755671 0.053421 0.067400 0.000000 3.370323 3.362724 3.399362 0.122124 0.121065 0.126171 -0.002463 0.122333
