Timestep Time cumulativeSelectionP cumulativeTransmissionP cumulativeSelectionAltruism cumulativeTransmissionAltruism cumulativeSelectionProduct cumulativeTransmissionProduct
0 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000
62500 5000.000000 0.001893 -0.008406 0.016171 0.005209 0.016152 0.005102
125000 10000.000000 0.001610 -0.013249 0.021287 0.006253 0.021228 0.006012
187500 15000.000000 0.006471 -0.017914 0.024177 0.007080 0.024218 0.006680
250000 20000.000000 0.008630 -0.022195 0.025245 0.007815 0.025360 0.007260
312500 25000.000000 0.007500 -0.026136 0.027015 0.008400 0.027055 0.007696
375000 30000.000000 0.006380 -0.029288 0.023112 0.008962 0.023186 0.008138
437500 35000.000000 0.000820 -0.031685 0.024181 0.009671 0.024096 0.008750
500000 40000.000000 0.003278 -0.033251 0.034168 0.010109 0.033830 0.009117
562500 45000.000000 0.004706 -0.034373 0.030184 0.010414 0.030013 0.009359
625000 50000.000000 -0.000558 -0.035283 0.027205 0.010839 0.026912 0.009732
687500 55000.000000 0.001463 -0.036105 0.028513 0.011368 0.028312 0.010207
750000 60000.000000 -0.000048 -0.037211 0.029119 0.011786 0.028869 0.010560
812500 65000.000000 0.007993 -0.038678 0.032580 0.012108 0.032589 0.010791
875000 70000.000000 0.017632 -0.041092 0.031434 0.012499 0.031950 0.011040
937500 75000.000000 0.024941 -0.044158 0.026150 0.012944 0.027087 0.011338
1000000 80000.000000 0.028363 -0.047643 0.031546 0.013355 0.032456 0.011584
1062500 85000.000000 0.032257 -0.050622 0.030387 0.013776 0.031513 0.011863
1125000 90000.000000 0.032536 -0.053672 0.031326 0.014145 0.032415 0.012082
1187500 95000.000000 0.039206 -0.056557 0.029194 0.014519 0.030671 0.012302
1250000 100000.000000 0.039502 -0.059635 0.032514 0.015094 0.033918 0.012730
1312500 105000.000000 0.040493 -0.062017 0.027466 0.015493 0.028991 0.012995
1375000 110000.000000 0.043003 -0.064844 0.029104 0.015874 0.030795 0.013229
1437500 115000.000000 0.039822 -0.067699 0.026581 0.016328 0.028077 0.013544
1500000 120000.000000 0.033842 -0.069889 0.039440 0.016658 0.040370 0.013750
1562500 125000.000000 0.045371 -0.072724 0.038102 0.017012 0.039864 0.013912
1625000 130000.000000 0.052612 -0.076071 0.034981 0.017368 0.037205 0.014055
1687500 135000.000000 0.065700 -0.079928 0.046936 0.017716 0.049717 0.014132
1750000 140000.000000 0.070577 -0.083920 0.043040 0.018073 0.046129 0.014216
1812500 145000.000000 0.073941 -0.088027 0.034230 0.018418 0.037599 0.014313
1875000 150000.000000 0.074083 -0.091659 0.032433 0.018830 0.035767 0.014533
1937500 155000.000000 0.073949 -0.094986 0.029916 0.019235 0.033283 0.014755
2000000 160000.000000 0.064302 -0.097429 0.046666 0.019503 0.048851 0.014891
2062500 165000.000000 0.058044 -0.098768 0.040798 0.019769 0.042856 0.015077
2125000 170000.000000 0.049940 -0.099381 0.037984 0.019916 0.039810 0.015180
2187500 175000.000000 0.047705 -0.099834 0.039750 0.020099 0.041338 0.015318
2250000 180000.000000 0.047958 -0.100381 0.042153 0.020292 0.043619 0.015457
2312500 185000.000000 0.045527 -0.100866 0.047186 0.020418 0.048285 0.015536
2375000 190000.000000 0.047698 -0.101133 0.046690 0.020569 0.048078 0.015646
2437500 195000.000000 0.049869 -0.101539 0.050913 0.020694 0.052289 0.015721
2500000 200000.000000 0.053836 -0.102380 0.053123 0.020853 0.054712 0.015791
2562500 205000.000000 0.063526 -0.103860 0.048682 0.021127 0.051207 0.015919
2625000 210000.000000 0.068211 -0.105905 0.040998 0.021374 0.043888 0.016010
2687500 215000.000000 0.062090 -0.107685 0.037796 0.021625 0.040211 0.016155
2750000 220000.000000 0.054106 -0.109231 0.039326 0.021867 0.041318 0.016291
2812500 225000.000000 0.047132 -0.110392 0.035571 0.022074 0.037185 0.016410
2875000 230000.000000 0.015939 -0.111552 0.056010 0.022227 0.053501 0.016478
2937500 235000.000000 0.003102 -0.112014 0.041640 0.022305 0.040238 0.016512
3000000 240000.000000 -0.005804 -0.112237 0.043124 0.022526 0.041044 0.016680
3062500 245000.000000 -0.007444 -0.112283 0.035777 0.022759 0.034580 0.016865
3125000 250000.000000 -0.005055 -0.112272 0.026160 0.023082 0.026387 0.017132
3187500 255000.000000 0.001985 -0.112266 0.019903 0.023465 0.021095 0.017454
3250000 260000.000000 -0.007049 -0.112279 0.025542 0.023801 0.025556 0.017737
3312500 265000.000000 -0.008645 -0.112362 0.019093 0.024104 0.019980 0.017987
3375000 270000.000000 0.001909 -0.112496 0.019949 0.024717 0.021220 0.018503
3437500 275000.000000 0.003989 -0.112589 0.013204 0.025140 0.015317 0.018865
3500000 280000.000000 0.001457 -0.112590 0.016507 0.025609 0.018077 0.019274
3562500 285000.000000 -0.011120 -0.112611 0.019102 0.026048 0.019537 0.019652
3625000 290000.000000 -0.026077 -0.112655 0.017504 0.026450 0.017646 0.019989
3687500 295000.000000 -0.042429 -0.112634 0.019957 0.027006 0.018948 0.020452
3750000 300000.000000 -0.047911 -0.112610 0.028075 0.027448 0.026027 0.020811
3812500 305000.000000 -0.031805 -0.112608 0.027737 0.027675 0.026494 0.020979
3875000 310000.000000 -0.020773 -0.112584 0.036944 0.027955 0.035207 0.021201
3937500 315000.000000 -0.016054 -0.112633 0.023116 0.028187 0.023354 0.021381
4000000 320000.000000 -0.004827 -0.112599 0.025597 0.028482 0.026133 0.021621
4062500 325000.000000 -0.001619 -0.112644 0.030279 0.028650 0.030291 0.021750
4125000 330000.000000 -0.008393 -0.112673 0.034917 0.028772 0.033775 0.021838
4187500 335000.000000 -0.021251 -0.112717 0.044014 0.028928 0.040820 0.021950
4250000 340000.000000 -0.041313 -0.112675 0.044912 0.029038 0.039771 0.022026
4312500 345000.000000 -0.062239 -0.112712 0.044813 0.029168 0.038520 0.022109
4375000 350000.000000 -0.066957 -0.112745 0.044492 0.029323 0.038174 0.022209
4437500 355000.000000 -0.071685 -0.112765 0.039031 0.029609 0.033275 0.022422
4500000 360000.000000 -0.081791 -0.112743 0.038005 0.029812 0.031543 0.022568
4562500 365000.000000 -0.093750 -0.112690 0.035289 0.030024 0.028799 0.022722
4625000 370000.000000 -0.107455 -0.112692 0.031746 0.030316 0.025220 0.022934
4687500 375000.000000 -0.124453 -0.112678 0.034065 0.030556 0.025753 0.023101
4750000 380000.000000 -0.146071 -0.112684 0.044351 0.030897 0.031945 0.023336
4812500 385000.000000 -0.157054 -0.112701 0.039720 0.031073 0.027959 0.023440
4875000 390000.000000 -0.165663 -0.112725 0.055291 0.031245 0.038524 0.023536
4937500 395000.000000 -0.169835 -0.112732 0.047997 0.031398 0.033234 0.023614
5000000 400000.000000 -0.169734 -0.112757 0.055974 0.031658 0.039044 0.023770
