Simulation from altruism.c performed at Wed Oct 12 16:49:03 2022

Output files are created with the same id as this file.
Predefined parameters:
Tmax = 5000001
DeltaTime = 0.080000
DeltaSpace = 0.100000
Initial population size = 335544
Number of positions = 1048576
Initial altruism level = 0.000000
Initial p = 1.000000
Death rate = 1.000000
Birth rate = 5.000000
Mutation probability production = 0.001000
Mean mutation size production = 0.005000
Mutation probability p = 0.001000
Mean mutation size p = 0.005000
Scale of altruism = 1
Scale of competition = 4
Scale of movement = 0.080000
B0 = 1.000000
BMAX = 5.000000
alpha = 0.500000
(1 - alpha)*kappa = 0.050000
kappa = 0.100000
K = 40
Number of fields (kernel) = 7
Timestep Time Population_size As Bs Mean_altruism_all Mean_altruism_A Mean_altruism_B Mean_p_all Mean_p_A Mean_p_B Mean_cost_all Mean_cost_A Mean_cost_B Mean_benefit_all Mean_benefit_A Mean_benefit_B Mean_production_all Mean_production_A Mean_production_B Covariance_p_altruism Mean_expressed_altruism
0 0.000000 335544 335544 0 0.000000 0.000000 -nan 1.000000 1.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000
62500 5000.000000 387814 382928 4886 0.031122 0.031106 0.032335 0.987515 0.987631 0.978387 0.026683 0.027024 0.000000 2.132617 2.132164 2.168110 0.030717 0.030705 0.031630 -0.000017 0.030714
125000 10000.000000 387676 381372 6304 0.032718 0.032707 0.033411 0.983828 0.984124 0.965926 0.027637 0.028094 0.000000 2.099811 2.100014 2.087541 0.032179 0.032180 0.032176 -0.000009 0.032175
187500 15000.000000 389871 379990 9881 0.039975 0.039849 0.044829 0.975116 0.975536 0.958975 0.032656 0.033505 0.000000 2.305326 2.303198 2.387163 0.038868 0.038763 0.042905 -0.000113 0.038839
250000 20000.000000 392419 378210 14209 0.049776 0.049581 0.054985 0.963899 0.964427 0.949846 0.039134 0.040604 0.000000 2.524045 2.520274 2.624425 0.047783 0.047621 0.052100 -0.000196 0.047785
312500 25000.000000 395181 376440 18741 0.073604 0.073293 0.079842 0.951987 0.952796 0.935747 0.054239 0.056940 0.000000 2.896094 2.892904 2.960171 0.069761 0.069527 0.074465 -0.000308 0.069817
375000 30000.000000 395700 372748 22952 0.073798 0.073415 0.080025 0.941216 0.942298 0.923637 0.053640 0.056943 0.000000 2.875129 2.872420 2.919119 0.069088 0.068807 0.073659 -0.000372 0.069156
437500 35000.000000 395276 369588 25688 0.072954 0.072566 0.078527 0.935304 0.936655 0.915857 0.052663 0.056323 0.000000 2.854716 2.850645 2.913282 0.067859 0.067599 0.071588 -0.000375 0.067850
500000 40000.000000 395830 367421 28409 0.075457 0.075078 0.080356 0.928144 0.929702 0.907992 0.053964 0.058136 0.000000 2.902850 2.899667 2.944004 0.069682 0.069444 0.072764 -0.000353 0.069690
562500 45000.000000 394598 365388 29210 0.069065 0.068892 0.071236 0.925433 0.927064 0.905025 0.049943 0.053936 0.000000 2.814156 2.813626 2.820789 0.063749 0.063690 0.064492 -0.000166 0.063792
